key;field;base_value;comp_value;section;side;base_name;comp_name;key_name
2023-2024_137_SRV02866_STAN00005242;total_volume;2648.0;2289.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_137_SRV02866_STAN00005242;volume_meeting_target;2457.0;1868.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_139_1257_1283;performance;0.6901;0.6887;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_139_1257_1283;total_volume;55729.0;38675.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_139_1257_1283;volume_meeting_target;38457.0;26637.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_237_SRV03451_8348;performance;0.9043;1.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_237_SRV03451_8348;volume_meeting_target;104.0;115.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_237_SRV03451_8349;performance;0.9259;1.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_237_SRV03451_8349;volume_meeting_target;25.0;27.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3001;total_volume;40.0;33.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3001;volume_meeting_target;40.0;33.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3003;target;0.9;1.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3003;total_volume;40.0;34.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3003;volume_meeting_target;40.0;34.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3004;target;1.0;0.96;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3004;total_volume;24.0;26.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1223_3004;volume_meeting_target;24.0;26.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1225_STAN00005892;service_name_en;Federal Heritage Buildings Review Office;Federal Heritage Review Office;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1225_STAN00005892;service_name_fr;Bureau d'examen des édifices fédéraux du patrimoine;Bureau d'examen du patrimoine fédéral;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_1225_STAN00005892;target_met;NA;N;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_263_955_4001;channel_comments_en;Met target 84% of time. Response times have been delayed as some field units has experienced high volumes of applications. Parks Canada has implemented a resolution and anticipates meeting the service standard in 2023-2024.;Targets unknown. Parks Canada does not have a national system to track targets.;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
