key;field;base_value;comp_value;section;side;base_name;comp_name;key_name
2023-2024_221_314;program_id;ISSA6;ISS00;diffs;;2026-01-19_si;si;fy_org_id_service_id
2023-2024_221_315;program_id;ISS06;ISS00;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_1089;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_2269;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_2298;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3629;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3630;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3631;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3632;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3633;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3634;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_127_3635;last_service_review;2005-2006;2024-2025;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_221_314;program_id;ISS01;ISS00;diffs;;2026-01-19_si;si;fy_org_id_service_id
2024-2025_221_315;program_id;ISS01;ISS00;diffs;;2026-01-19_si;si;fy_org_id_service_id
2023-2024_222_SRV02904;record only in comp (si);;2023-2024_222_SRV02904;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2023-2024_222_SRV02907;record only in comp (si);;2023-2024_222_SRV02907;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3181;record only in comp (si);;2024-2025_110_3181;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3403;record only in comp (si);;2024-2025_110_3403;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3404;record only in comp (si);;2024-2025_110_3404;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3408;record only in comp (si);;2024-2025_110_3408;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3410;record only in comp (si);;2024-2025_110_3410;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3411;record only in comp (si);;2024-2025_110_3411;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3413;record only in comp (si);;2024-2025_110_3413;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3414;record only in comp (si);;2024-2025_110_3414;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
2024-2025_110_3643;record only in comp (si);;2024-2025_110_3643;records_only;comp;2026-01-19_si;si;fy_org_id_service_id
