fiscal_yr;service_id;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;1270;12253.0;12253.0;0.0
2018-2019;1271;42120.0;42120.0;0.0
2018-2019;1273;156.0;183.0;27.0
2018-2019;1274;1817.0;1919.0;102.0
2018-2019;1275;230002184.0;250002800.0;20000616.0
2018-2019;1276;555548.0;602602.0;47054.0
2018-2019;1277;99295.0;110295.0;11000.0
2018-2019;1278;3289.0;3550.0;261.0
2018-2019;1279;17638.0;17673.0;35.0
2018-2019;1280;27182.0;52211.0;25029.0
2018-2019;1281;1446.0;1546.0;100.0
2018-2019;1282;99.0;1010.0;911.0
2018-2019;1287;3131.0;3434.0;303.0
2018-2019;1289;1615.0;1717.0;102.0
2018-2019;129;109.0;124.0;15.0
2018-2019;1290;0.0;0.0;0.0
2018-2019;1291;4845.0;5845.0;1000.0
2018-2019;1292;1270000341000.0;1300000341000.0;30000000000.0
2018-2019;1294;30000258503.0;30000273139.0;14636.0
2018-2019;1295;5592.0;5592.0;0.0
2018-2019;1296;1.3764422284454667e+48;1.6993112284454667e+48;3.2286900000000002e+47
2018-2019;1298;2.500289617155578e+18;2.969489617155578e+18;4.692e+17
2018-2019;1299;0.0;1.596101596101596e+23;1.596101596101596e+23
2018-2019;13;11446.0;11800.0;354.0
2018-2019;130;130680.0;144720.0;14040.0
2018-2019;1304;16052.0;16100.0;48.0
2018-2019;1306;15072.0;15700.0;628.0
2018-2019;1307;301969.0;61923151.0;61621182.0
2018-2019;1308;36350.0;363636.0;327286.0
2018-2019;1309;0.0;0.0;0.0
2018-2019;131;36440.0;36440.0;0.0
2018-2019;1311;1.0;1.0;0.0
2018-2019;1315;7179717971797179.0;7179717971797179.0;0.0
2018-2019;1317;0.0;0.0;0.0
2018-2019;1318;0.0;0.0;0.0
2018-2019;1319;0.0;0.0;0.0
2018-2019;132;604843.0;775043.0;170200.0
2018-2019;1320;0.0;0.0;0.0
2018-2019;1321;0.0;0.0;0.0
2018-2019;1322;3.602912837287114e+29;3.702710537664116e+29;9.97977003770023e+27
2018-2019;1323;3029.0;3333.0;304.0
2018-2019;1326;0.0;0.0;0.0
2018-2019;1327;0.0;0.0;0.0
2018-2019;1328;33.0;33.0;0.0
2018-2019;133;105238.0;106342.0;1104.0
2018-2019;1330;0.0;2559000.0;2559000.0
2018-2019;1331;2488199167716.0;25389100271738.0;22900901104022.0
2018-2019;1332;772624763.0;847127152.0;74502389.0
2018-2019;1334;0.0;0.0;0.0
2018-2019;1336;1834.0;2084.0;250.0
2018-2019;1337;3214.0;4050.0;836.0
2018-2019;1338;75159.0;118159.0;43000.0
2018-2019;1339;18911.0;20511.0;1600.0
2018-2019;134;4830.0;5767.0;937.0
2018-2019;1340;982.0;1182.0;200.0
2018-2019;1341;0.0;0.0;0.0
2018-2019;1342;291.0;300.0;9.0
2018-2019;1343;4111.0;4212.0;101.0
2018-2019;1344;1015.0;1215.0;200.0
2018-2019;1345;36.0;56.0;20.0
2018-2019;1346;0.0;0.0;0.0
2018-2019;1347;575.0;594.0;19.0
2018-2019;1348;0.0;0.0;0.0
2018-2019;135;2.649662530518417e+16;2.676667630819921e+16;270051003015040.0
2018-2019;1351;0.0;0.0;0.0
2018-2019;1352;0.0;0.0;0.0
2018-2019;1353;0.0;0.0;0.0
2018-2019;1354;0.0;0.0;0.0
2018-2019;1355;0.0;0.0;0.0
2018-2019;136;2216352322.0;2921352330.0;705000008.0
2018-2019;1366;0.0;0.0;0.0
2018-2019;1367;32931.0;32931.0;0.0
2018-2019;1369;11.0;11.0;0.0
2018-2019;137;1286275347.0;3686445363.0;2400170016.0
2018-2019;1370;8.0;8.0;0.0
2018-2019;1371;7021.0;7021.0;0.0
2018-2019;1372;1200.0;1200.0;0.0
2018-2019;1373;173.0;173.0;0.0
2018-2019;1374;1329855.0;25261172.0;23931317.0
2018-2019;1375;1264.0;1305.0;41.0
2018-2019;1376;858.0;868.0;10.0
2018-2019;1377;240.0;289.0;49.0
2018-2019;138;14283551302.0;17787711302.0;3504160000.0
2018-2019;1383;12.0;12.0;0.0
2018-2019;139;1173282195.0;13736162195.0;12562880000.0
2018-2019;1391;0.0;0.0;0.0
2018-2019;1393;0.0;0.0;0.0
2018-2019;1397;218.0;250.0;32.0
2018-2019;14;0.0;1034.0;1034.0
2018-2019;140;5322842.0;60362857.0;55040015.0
2018-2019;1407;46.0;47.0;1.0
2018-2019;1414;0.0;0.0;0.0
2018-2019;1415;0.0;0.0;0.0
2018-2019;1419;30891846.0;40662986.0;9771140.0
2018-2019;1420;227736114991.0;235783140233.0;8047025242.0
2018-2019;1421;4113.0;4571.0;458.0
2018-2019;1422;3987706.0;3989002.0;1296.0
2018-2019;1423;146873118668.0;225958620800.0;79085502132.0
2018-2019;1428;55943178263.0;59364180068.0;3421001805.0
2018-2019;1429;55943.0;59364.0;3421.0
2018-2019;1430;18666.0;24203.0;5537.0
2018-2019;1431;88.0;232.0;144.0
2018-2019;1433;14726.0;17328.0;2602.0
2018-2019;1437;0.0;0.0;0.0
2018-2019;1439;209.0;10192.0;9983.0
2018-2019;144;26116206.0;34117206.0;8001000.0
2018-2019;1441;6245970.0;790019176.0;783773206.0
2018-2019;1442;31492.0;40374.0;8882.0
2018-2019;1445;38.0;42.0;4.0
2018-2019;145;10533124179930.0;10553124209930.0;20000030000.0
2018-2019;1458;25.0;29.0;4.0
2018-2019;146;43696542.0;58996542.0;15300000.0
2018-2019;1460;104104104.0;104104104.0;0.0
2018-2019;1466;0.0;0.0;0.0
2018-2019;1467;0.0;0.0;0.0
2018-2019;1468;0.0;0.0;0.0
2018-2019;147;2038.0;2044.0;6.0
2018-2019;1472;4.0;4.0;0.0
2018-2019;1475;0.0;0.0;0.0
2018-2019;148;692400243.0;702430243.0;10030000.0
2018-2019;1482;1683210.0;2099340.0;416130.0
2018-2019;149;24114.0;24514.0;400.0
2018-2019;1491;3.5239159990010995e+45;3.5418360249512136e+45;1.792002595011406e+43
2018-2019;1494;701.0;732.0;31.0
2018-2019;1495;14921.0;16527.0;1606.0
2018-2019;1496;14921.0;16527.0;1606.0
2018-2019;1498;3740.0;3771.0;31.0
2018-2019;15;0.0;16889.0;16889.0
2018-2019;1500;6.0;6.0;0.0
2018-2019;1501;18253.0;18779.0;526.0
2018-2019;1505;77.0;77.0;0.0
2018-2019;1506;300300.0;333333.0;33033.0
2018-2019;1507;42.0;46.0;4.0
2018-2019;1509;13.0;17.0;4.0
2018-2019;1514;24749.0;83895.0;59146.0
2018-2019;1515;745.0;745.0;0.0
2018-2019;1516;6320.0;16846.0;10526.0
2018-2019;152;34030.0;45044.0;11014.0
2018-2019;1526;4500.0;5000.0;500.0
2018-2019;153;12228.0;12228.0;0.0
2018-2019;1533;5.0;5.0;0.0
2018-2019;1535;3.0;3.0;0.0
2018-2019;1536;9998.0;10999.0;1001.0
2018-2019;1537;9921.0;10026.0;105.0
2018-2019;1538;0.0;0.0;0.0
2018-2019;1539;0.0;0.0;0.0
2018-2019;154;24472835.0;26473036.0;2000201.0
2018-2019;1540;0.0;0.0;0.0
2018-2019;1541;29.0;35.0;6.0
2018-2019;1542;9.0;11.0;2.0
2018-2019;1543;32198.0;34205.0;2007.0
2018-2019;1548;961973.0;961974.0;1.0
2018-2019;1549;783.0;807.0;24.0
2018-2019;155;0.0;0.0;0.0
2018-2019;1550;0.0;0.0;0.0
2018-2019;1553;151340.0;154435241.0;154283901.0
2018-2019;1555;0.0;0.0;0.0
2018-2019;1557;1314.0;1340.0;26.0
2018-2019;156;27210294154955.0;27211534154955.0;1240000000.0
2018-2019;1561;1212.0;1932.0;720.0
2018-2019;1564;21244.0;21248.0;4.0
2018-2019;157;180347.0;4526134.0;4345787.0
2018-2019;1579;9.0;9.0;0.0
2018-2019;158;9916120.0;15916120.0;6000000.0
2018-2019;1581;4113125.0;4113226.0;101.0
2018-2019;1584;59563930.0;59593933.0;30003.0
2018-2019;1585;107946.0;107946.0;0.0
2018-2019;1586;12.0;12.0;0.0
2018-2019;1587;4100.0;4100.0;0.0
2018-2019;1588;300.0;300.0;0.0
2018-2019;1589;2.0;2.0;0.0
2018-2019;1590;1.0;1.0;0.0
2018-2019;1591;1.0;1.0;0.0
2018-2019;1592;3.0;3.0;0.0
2018-2019;1593;5.0;5.0;0.0
2018-2019;1594;23.0;25.0;2.0
2018-2019;1595;9.0;11.0;2.0
2018-2019;1596;11.0;12.0;1.0
2018-2019;16;0.0;2510.0;2510.0
2018-2019;160;17904.0;171274.0;153370.0
2018-2019;161;28913402.0;381113402.0;352200000.0
2018-2019;1612;0.0;0.0;0.0
2018-2019;1614;0.0;0.0;0.0
2018-2019;1616;1021.0;2121.0;1100.0
2018-2019;162;35239.0;41239.0;6000.0
2018-2019;1620;0.0;0.0;0.0
2018-2019;1621;7.0;7.0;0.0
2018-2019;1622;0.0;0.0;0.0
2018-2019;1623;5.0;5.0;0.0
2018-2019;1624;3234.0;3234.0;0.0
2018-2019;1629;0.0;5494.0;5494.0
2018-2019;163;2.0;2.0;0.0
2018-2019;1631;82.0;82.0;0.0
2018-2019;1632;114.0;114.0;0.0
2018-2019;1634;151.0;152.0;1.0
2018-2019;1635;1.0;1.0;0.0
2018-2019;1636;2.0;2.0;0.0
2018-2019;1637;5.701009612000001e+46;5.718210012013003e+53;5.718209441912042e+53
2018-2019;1638;9.31500017404231e+56;9.319355315063703e+65;9.319355305748702e+65
2018-2019;164;491805817643.0;1031809817654.0;540004000011.0
2018-2019;1640;388.0;400.0;12.0
2018-2019;1641;171.0;180.0;9.0
2018-2019;1646;34317.0;46269.0;11952.0
2018-2019;1648;0.0;1.0874855272224507e+38;1.0874855272224507e+38
2018-2019;1649;1930000.0;7.711673249825683e+17;7.711673249806383e+17
2018-2019;165;20801051.0;361013659.0;340212608.0
2018-2019;1650;0.0;188.0;188.0
2018-2019;1655;910.0;109696.0;108786.0
2018-2019;1658;1716.0;1716.0;0.0
2018-2019;1659;152060200909000.0;1.8228702675532909e+28;1.8228702675532757e+28
2018-2019;1660;0.0;1619111675.0;1619111675.0
2018-2019;1664;320875.0;3721080.0;3400205.0
2018-2019;167;416.0;446.0;30.0
2018-2019;1671;148129395.0;153222406.0;5093011.0
2018-2019;1678;236.0;238.0;2.0
2018-2019;1679;5000.0;5000.0;0.0
2018-2019;1688;0.0;0.0;0.0
2018-2019;169;0.0;0.0;0.0
2018-2019;1691;0.0;0.0;0.0
2018-2019;1706;405.0;504.0;99.0
2018-2019;1707;315857.0;349922.0;34065.0
2018-2019;1710;0.0;0.0;0.0
2018-2019;1714;6.0;6.0;0.0
2018-2019;1717;450.0;571.0;121.0
2018-2019;1719;92.0;92.0;0.0
2018-2019;172;26302611.0;30232968.0;3930357.0
2018-2019;1720;14.0;14.0;0.0
2018-2019;1728;3.0;6.0;3.0
2018-2019;173;239026303735.0;239034953735.0;8650000.0
2018-2019;1734;0.0;0.0;0.0
2018-2019;1736;32931.0;32931.0;0.0
2018-2019;1737;343436.0;373737.0;30301.0
2018-2019;1738;118113137.0;141141141.0;23028004.0
2018-2019;1739;474548.0;484848.0;10300.0
2018-2019;1740;919390.0;959595.0;40205.0
2018-2019;1742;156.0;156.0;0.0
2018-2019;1744;25152.0;25152.0;0.0
2018-2019;1745;3658148218.0;4204156237.0;546008019.0
2018-2019;1746;2400.0;3000.0;600.0
2018-2019;1748;151313.0;151515.0;202.0
2018-2019;1749;444773.0;737373.0;292600.0
2018-2019;1772;1201514.0;14151515.0;12950001.0
2018-2019;1773;295096432.0;405706958.0;110610526.0
2018-2019;1774;2218107.0;3020112.0;802005.0
2018-2019;1775;13106.0;14112.0;1006.0
2018-2019;1776;15145.0;17156.0;2011.0
2018-2019;178;324358845321.0;419269495517.0;94910650196.0
2018-2019;1780;10.0;11.0;1.0
2018-2019;1781;10.0;11.0;1.0
2018-2019;1785;64.0;154.0;90.0
2018-2019;18;15165151417540.0;22268163521920.0;7103012104380.0
2018-2019;1818;90.0;99.0;9.0
2018-2019;1821;13.0;19.0;6.0
2018-2019;1823;2100021000.0;2479824798.0;379803798.0
2018-2019;1824;39.0;39.0;0.0
2018-2019;1825;5846.0;5846.0;0.0
2018-2019;1828;120.0;120.0;0.0
2018-2019;1837;902389.0;917435.0;15046.0
2018-2019;1849;0.0;0.0;0.0
2018-2019;1854;1822.0;1948.0;126.0
2018-2019;1862;150.0;150.0;0.0
2018-2019;1863;0.0;1.0;1.0
2018-2019;1866;0.0;49546.0;49546.0
2018-2019;1867;13921.0;14360.0;439.0
2018-2019;1868;0.0;0.0;0.0
2018-2019;1870;63963980.0;63963980.0;0.0
2018-2019;1871;10.0;10.0;0.0
2018-2019;1872;100100.0;1100011000.0;1099910900.0
2018-2019;1873;100100.0;31003100.0;30903000.0
2018-2019;1874;36.0;39.0;3.0
2018-2019;1875;0.0;0.0;0.0
2018-2019;1886;0.0;0.0;0.0
2018-2019;1888;3201.0;3300.0;99.0
2018-2019;1892;10629.0;10660.0;31.0
2018-2019;1901;303337.0;312338.0;9001.0
2018-2019;1902;4131.0;4642.0;511.0
2018-2019;1903;3947.0;4147.0;200.0
2018-2019;1904;1975.0;2463.0;488.0
2018-2019;1905;370.0;386.0;16.0
2018-2019;1906;133131.0;133132.0;1.0
2018-2019;1907;150189.0;151189.0;1000.0
2018-2019;1908;347423389.0;385432435.0;38009046.0
2018-2019;1909;100247.0;111254.0;11007.0
2018-2019;1910;14401809.0;14621827.0;220018.0
2018-2019;1911;132174.0;134175.0;2001.0
2018-2019;1912;702958.0;750961.0;48003.0
2018-2019;1913;531773.0;571973.0;40200.0
2018-2019;1917;0.0;0.0;0.0
