fiscal_yr;org_id;service_id;channel;volume
2023-2024;46;1117;phone;3.0
2023-2024;46;2450;phone;10.0
2023-2024;46;3718;phone;5145.0
2023-2024;55;3639;phone;1054.0
2023-2024;65;1;phone;1.0
2023-2024;65;2;phone;1.0
2023-2024;65;3;phone;1.0
2023-2024;65;4;phone;1.0
2023-2024;65;1978;phone;1.0
2023-2024;65;SRV02738;phone;42066.0
2023-2024;122;1915;phone;5.0
2023-2024;122;SRV03322;phone;2.0
2023-2024;122;SRV03323;phone;80.0
2023-2024;93;1875;phone;5574.0
2023-2024;297;2150;phone;31.0
2023-2024;117;155;phone;1.0
2023-2024;129;1356;phone;398.0
2023-2024;132;2287;phone;32.0
2023-2024;128;1371;phone;623.0
2023-2024;128;1254;phone;2056.0
2023-2024;137;255;phone;2.0
2023-2024;151;1726;phone;1730.0
2023-2024;151;907;phone;4031.0
2023-2024;152;172;phone;1500.0
2023-2024;126;1699;phone;100.0
2023-2024;126;2528;phone;84455.0
2023-2024;126;SRV03066;phone;37.0
2023-2024;127;762;phone;10.0
2023-2024;127;SRV02942;phone;5.0
2023-2024;123;2238;phone;2659147.0
2023-2024;348;2047;phone;50619.0
2023-2024;130;2015;phone;6.0
2023-2024;130;1332;phone;25458.0
2023-2024;199;1854;phone;2.0
2023-2024;199;2538;phone;64.0
2023-2024;199;1867;phone;306.0
2023-2024;199;3577;phone;166.0
2023-2024;133;SRV02716;phone;143.0
2023-2024;223;1506;phone;200.0
2023-2024;134;2597;phone;7.0
2023-2024;134;1576;phone;22.0
2023-2024;134;1578;phone;1610.0
2023-2024;238;SRV02852;phone;1.0
2023-2024;240;1882;phone;2.0
2023-2024;278;2626;phone;576.0
2023-2024;280;2268;phone;440.0
2023-2024;136;13;phone;2937.0
2023-2024;136;942;phone;4.0
2023-2024;136;843;phone;3053.0
2023-2024;136;911;phone;37.0
2023-2024;136;914;phone;96.0
2023-2024;136;870;phone;692.0
2023-2024;136;1147;phone;8.0
2023-2024;295;2446;phone;1.0
2023-2024;295;3651;phone;29598.0
2023-2024;138;SRV03476;phone;65.0
2023-2024;138;SRV03560;phone;702.0
2023-2024;138;SRV03488;phone;1.0
2023-2024;138;SRV03526;phone;1.0
2023-2024;138;SRV03485;phone;107.0
2023-2024;138;SRV03486;phone;22.0
2023-2024;138;SRV03473;phone;329.0
2023-2024;138;SRV03487;phone;2.0
2023-2024;138;SRV03525;phone;35200.0
2023-2024;138;3658;phone;8875.0
2023-2024;139;SRV03062;phone;690.0
2022-2023;128;1001;online;276390.0
2019-2020;128;1001;online;10287.0
2020-2021;128;1001;online;43052.0
2021-2022;128;1001;online;266468.0
2022-2023;313;1002;online;298.0
2019-2020;313;1002;online;476.0
2020-2021;313;1002;online;289.0
2021-2022;313;1002;online;369.0
2022-2023;128;1003;online;2986742.0
2018-2019;128;1003;online;2798291.0
2019-2020;128;1003;online;4832440.0
2020-2021;128;1003;online;5702111.0
2021-2022;128;1003;online;3680484.0
2018-2019;125;1004;online;200.0
2022-2023;128;1007;online;75618.0
2018-2019;128;1007;online;83387.0
2019-2020;128;1007;online;89043.0
2020-2021;128;1007;online;64398.0
2021-2022;128;1007;online;71730.0
2018-2019;125;1011;online;100.0
2022-2023;125;1026;online;146107.0
2018-2019;125;1026;online;134939.0
2019-2020;125;1026;online;68000.0
2020-2021;125;1026;online;68000.0
2021-2022;125;1026;online;30338.0
2018-2019;125;1027;online;327000.0
2019-2020;125;1027;online;222462.0
2020-2021;125;1027;online;222462.0
2021-2022;125;1027;online;252578.0
2018-2019;125;1032;online;240000.0
2019-2020;125;1032;online;154957.0
2020-2021;125;1032;online;154957.0
2021-2022;125;1032;online;173624.0
2019-2020;125;1038;online;607.0
2020-2021;125;1039;online;595.0
2022-2023;282;1042;online;153.0
2021-2022;282;1042;online;209.0
2022-2023;133;1050;online;14502.0
2020-2021;133;1050;online;1400.0
2021-2022;133;1050;online;11950.0
2018-2019;133;1052;online;5192.0
2022-2023;127;1055;online;1818.0
2018-2019;127;1055;online;245.0
2021-2022;127;1055;online;3004.0
2018-2019;133;1058;online;15.0
2020-2021;133;1058;online;21.0
2018-2019;127;1059;online;7714.0
2020-2021;127;1059;online;16989.0
2018-2019;133;1064;online;105.0
2019-2020;133;1064;online;105.0
2021-2022;133;1064;online;92.0
2022-2023;127;1089;online;99.0
2021-2022;127;1089;online;76.0
2022-2023;128;1090;online;5387.0
2018-2019;128;1090;online;19253.0
2019-2020;128;1090;online;12110.0
2020-2021;128;1090;online;15810.0
2021-2022;128;1090;online;4594.0
2022-2023;326;1094;online;300.0
2018-2019;326;1094;online;420.0
2019-2020;326;1094;online;319.0
2020-2021;326;1094;online;200.0
2021-2022;326;1094;online;200.0
2018-2019;46;1097;online;27300558.0
2019-2020;46;1097;online;27250409.0
2020-2021;46;1097;online;28019566.0
2021-2022;46;1097;online;27672389.0
2018-2019;46;1098;online;2389604.0
2019-2020;46;1098;online;2393970.0
2020-2021;46;1098;online;3609231.0
2021-2022;46;1098;online;3657761.0
2018-2019;46;1099;online;7236410.0
2019-2020;46;1099;online;7307767.0
2020-2021;46;1099;online;6937855.0
2021-2022;46;1099;online;7504737.0
2018-2019;46;1100;online;86.0
2019-2020;46;1100;online;113.0
2020-2021;46;1100;online;210.0
2021-2022;46;1100;online;488.0
2018-2019;46;1101;online;2211798.0
2019-2020;46;1101;online;2358433.0
2020-2021;46;1101;online;2415454.0
2021-2022;46;1101;online;2584321.0
2018-2019;46;1102;online;12615.0
2019-2020;46;1102;online;32904.0
2020-2021;46;1102;online;62470.0
2021-2022;46;1102;online;82033.0
2019-2020;46;1105;online;7416.0
2020-2021;46;1105;online;14000.0
2021-2022;46;1105;online;17751.0
2018-2019;46;1106;online;24436.0
2019-2020;46;1106;online;23736.0
2020-2021;46;1106;online;33913.0
2021-2022;46;1106;online;30374.0
2018-2019;46;1107;online;430034.0
2019-2020;46;1107;online;364224.0
2020-2021;46;1107;online;480464.0
2021-2022;46;1107;online;487743.0
2018-2019;46;1108;online;24217420.0
2019-2020;46;1108;online;29568618.0
2020-2021;46;1108;online;17296217.0
2021-2022;46;1108;online;33490868.0
2018-2019;46;1109;online;29233.0
2019-2020;46;1109;online;27555.0
2020-2021;46;1109;online;27450.0
2021-2022;46;1109;online;26765.0
2018-2019;46;1110;online;1466.0
2019-2020;46;1110;online;959.0
2020-2021;46;1110;online;16367.0
