fiscal_yr;org_id;department_en;department_fr;service_count;service_with_std_count;maf1_score;service_standard_id_met;service_standard_id_total;maf2_score;online_e2e_count;service_count;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count;maf8_score
2019-2020;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;5;3;60.0;4.0;7.0;57.14285714285714;3;5;60.0;11.0;13.0;84.61538461538461;0;5;0.0
2019-2020;26;Canada Border Services Agency;Agence des services frontaliers du Canada;42;27;64.28571428571429;33.0;44.0;75.0;9;42;21.428571428571427;36.0;178.0;20.224719101123593;0;42;0.0
2019-2020;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;3;3;100.0;8.0;9.0;88.88888888888889;0;3;0.0;3.0;13.0;23.076923076923077;0;3;0.0
2019-2020;221;Canada Energy Regulator;Régie de l'énergie du Canada;16;16;100.0;12.0;18.0;66.66666666666666;0;16;0.0;11.0;94.0;11.702127659574469;0;16;0.0
2019-2020;46;Canada Revenue Agency;Agence du revenu du Canada;24;21;87.5;14.0;18.0;77.77777777777779;10;24;41.66666666666667;87.0;112.0;77.67857142857143;0;24;0.0
2019-2020;47;Canada School of Public Service;École de la fonction publique du Canada;3;2;66.66666666666666;3.0;4.0;75.0;1;3;33.33333333333333;7.0;15.0;46.666666666666664;0;3;0.0
2019-2020;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;9;9;100.0;6.0;15.0;40.0;4;9;44.44444444444444;22.0;30.0;73.33333333333333;0;9;0.0
2019-2020;69;Canadian Grain Commission;Commission canadienne des grains;14;11;78.57142857142857;10.0;10.0;100.0;2;14;14.285714285714285;6.0;72.0;8.333333333333332;0;14;0.0
2019-2020;122;Canadian Heritage;Patrimoine canadien;27;23;85.18518518518519;44.0;50.0;88.0;0;27;0.0;21.0;162.0;12.962962962962962;0;27;0.0
2019-2020;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;3;1;33.33333333333333;;;;2;3;66.66666666666666;4.0;8.0;50.0;0;3;0.0
