fiscal_yr;department_en;department_fr;org_id;activated_point_count;point_count;maf6_score
2023-2024;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;24;60;40.0
2023-2024;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;0;6;0.0
2023-2024;Polar Knowledge Canada;Savoir polaire Canada;552;4;18;22.22222222222222
2023-2024;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;7;18;38.88888888888889
2023-2024;Privy Council Office;Bureau du Conseil privé;278;1;18;5.555555555555555
2023-2024;Public Health Agency of Canada;Agence de la santé publique du Canada;280;25;120;20.833333333333336
2023-2024;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;0;12;0.0
2023-2024;Public Safety Canada;Sécurité publique Canada;135;24;294;8.16326530612245
2023-2024;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;68;114;59.64912280701754
2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;53;288;18.40277777777778
2023-2024;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;41;300;13.666666666666666
2023-2024;Shared Services Canada;Services partagés Canada;305;39;66;59.09090909090909
2023-2024;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;26;42;61.904761904761905
2023-2024;Statistics Canada;Statistique Canada;313;52;138;37.68115942028986
2023-2024;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;18;0.0
2023-2024;The National Battlefields Commission;Commission des champs de bataille nationaux;218;0;72;0.0
2023-2024;Transport Canada;Transports Canada;138;115;702;16.381766381766383
2023-2024;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;116;192;60.416666666666664
2023-2024;Veterans Affairs Canada;Anciens Combattants Canada;139;123;180;68.33333333333333
2023-2024;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;5;6;83.33333333333334
2023-2024;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;18;18;100.0
2024-2025;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;0;6;0.0

Timestamp:2025-02-07_10:20:43
