fiscal_yr;org_id;service_id;online_interaction_point;activation;online_interaction_point_sort
2021-2022;138;1655;issuance;N;5
2021-2022;138;1655;issue_resolution_feedback;N;6
2023-2024;134;1656;account_registration;NA;1
2023-2024;134;1656;authentication;NA;2
2023-2024;134;1656;application;NA;3
2023-2024;134;1656;decision;NA;4
2023-2024;134;1656;issuance;Y;5
2023-2024;134;1656;issue_resolution_feedback;Y;6
2023-2024;134;1657;account_registration;NA;1
2023-2024;134;1657;authentication;NA;2
2023-2024;134;1657;application;NA;3
2023-2024;134;1657;decision;NA;4
2023-2024;134;1657;issuance;NA;5
2023-2024;134;1657;issue_resolution_feedback;NA;6
2023-2024;95;1658;account_registration;NA;1
2023-2024;95;1658;authentication;NA;2
2023-2024;95;1658;application;Y;3
2023-2024;95;1658;decision;NA;4
2023-2024;95;1658;issuance;NA;5
2023-2024;95;1658;issue_resolution_feedback;Y;6
2021-2022;138;1659;account_registration;N;1
2021-2022;138;1659;authentication;N;2
2021-2022;138;1659;application;N;3
2021-2022;138;1659;decision;N;4
2021-2022;138;1659;issuance;N;5
2021-2022;138;1659;issue_resolution_feedback;N;6
2021-2022;99;166;account_registration;N;1
2021-2022;99;166;authentication;N;2
2021-2022;99;166;application;N;3
2021-2022;99;166;decision;Y;4
2021-2022;99;166;issuance;Y;5
2021-2022;99;166;issue_resolution_feedback;N;6
2021-2022;138;1660;account_registration;N;1
2021-2022;138;1660;authentication;N;2
2021-2022;138;1660;application;N;3
2021-2022;138;1660;decision;N;4
2021-2022;138;1660;issuance;N;5
2021-2022;138;1660;issue_resolution_feedback;N;6
2021-2022;138;1661;account_registration;NA;1
2021-2022;138;1661;authentication;NA;2
2021-2022;138;1661;application;NA;3
2021-2022;138;1661;decision;NA;4
2021-2022;138;1661;issuance;NA;5
2021-2022;138;1661;issue_resolution_feedback;NA;6
2021-2022;138;1662;account_registration;Y;1
2021-2022;138;1662;authentication;Y;2
2021-2022;138;1662;application;Y;3
2021-2022;138;1662;decision;N;4
2021-2022;138;1662;issuance;Y;5
2021-2022;138;1662;issue_resolution_feedback;N;6
2019-2020;138;1663;account_registration;Y;1
2019-2020;138;1663;authentication;Y;2
2019-2020;138;1663;application;Y;3
2019-2020;138;1663;decision;Y;4
2019-2020;138;1663;issuance;Y;5
2019-2020;138;1663;issue_resolution_feedback;N;6
2019-2020;138;1664;account_registration;N;1
2019-2020;138;1664;authentication;N;2
2019-2020;138;1664;application;Y;3
2019-2020;138;1664;decision;N;4
2019-2020;138;1664;issuance;N;5
2019-2020;138;1664;issue_resolution_feedback;N;6
2021-2022;138;1665;account_registration;NA;1
2021-2022;138;1665;authentication;NA;2
2021-2022;138;1665;application;NA;3
2021-2022;138;1665;decision;NA;4
2021-2022;138;1665;issuance;NA;5
2021-2022;138;1665;issue_resolution_feedback;NA;6
2019-2020;138;1666;account_registration;NA;1
2019-2020;138;1666;authentication;NA;2
2019-2020;138;1666;application;NA;3
2019-2020;138;1666;decision;NA;4
2019-2020;138;1666;issuance;NA;5
2019-2020;138;1666;issue_resolution_feedback;NA;6
2019-2020;138;1668;account_registration;NA;1
2019-2020;138;1668;authentication;NA;2
2019-2020;138;1668;application;NA;3
2019-2020;138;1668;decision;NA;4
2019-2020;138;1668;issuance;NA;5
2019-2020;138;1668;issue_resolution_feedback;NA;6
2021-2022;138;1669;account_registration;NA;1
2021-2022;138;1669;authentication;NA;2
2021-2022;138;1669;application;NA;3
2021-2022;138;1669;decision;NA;4
2021-2022;138;1669;issuance;NA;5
2021-2022;138;1669;issue_resolution_feedback;NA;6
2023-2024;99;167;account_registration;NA;1
2023-2024;99;167;authentication;NA;2
2023-2024;99;167;application;NA;3
2023-2024;99;167;decision;NA;4
2023-2024;99;167;issuance;Y;5
2023-2024;99;167;issue_resolution_feedback;NA;6
2023-2024;134;1670;account_registration;NA;1
2023-2024;134;1670;authentication;N;2
2023-2024;134;1670;application;N;3
2023-2024;134;1670;decision;N;4
2023-2024;134;1670;issuance;N;5
2023-2024;134;1670;issue_resolution_feedback;N;6
2023-2024;95;1671;account_registration;Y;1
2023-2024;95;1671;authentication;Y;2
2023-2024;95;1671;application;Y;3
2023-2024;95;1671;decision;Y;4
2023-2024;95;1671;issuance;Y;5
2023-2024;95;1671;issue_resolution_feedback;Y;6
2023-2024;134;1672;account_registration;N;1
2023-2024;134;1672;authentication;N;2
2023-2024;134;1672;application;N;3
2023-2024;134;1672;decision;N;4
2023-2024;134;1672;issuance;Y;5
2023-2024;134;1672;issue_resolution_feedback;N;6
2023-2024;134;1673;account_registration;N;1
2023-2024;134;1673;authentication;N;2
2023-2024;134;1673;application;NA;3
2023-2024;134;1673;decision;NA;4
2023-2024;134;1673;issuance;NA;5
2023-2024;134;1673;issue_resolution_feedback;NA;6
2023-2024;134;1674;account_registration;NA;1
2023-2024;134;1674;authentication;NA;2
2023-2024;134;1674;application;NA;3
2023-2024;134;1674;decision;NA;4
2023-2024;134;1674;issuance;NA;5
2023-2024;134;1674;issue_resolution_feedback;NA;6
2023-2024;134;1675;account_registration;NA;1
2023-2024;134;1675;authentication;NA;2
2023-2024;134;1675;application;NA;3
2023-2024;134;1675;decision;NA;4
2023-2024;134;1675;issuance;NA;5
2023-2024;134;1675;issue_resolution_feedback;NA;6
2022-2023;134;1676;account_registration;NA;1
2022-2023;134;1676;authentication;NA;2
2022-2023;134;1676;application;NA;3
2022-2023;134;1676;decision;NA;4
2022-2023;134;1676;issuance;NA;5
2022-2023;134;1676;issue_resolution_feedback;NA;6
2023-2024;228;1677;account_registration;Y;1
2023-2024;228;1677;authentication;NA;2
2023-2024;228;1677;application;Y;3
2023-2024;228;1677;decision;NA;4
2023-2024;228;1677;issuance;Y;5
2023-2024;228;1677;issue_resolution_feedback;N;6
2019-2020;63;1678;account_registration;NA;1
2019-2020;63;1678;authentication;NA;2
2019-2020;63;1678;application;Y;3
2019-2020;63;1678;decision;NA;4
2019-2020;63;1678;issuance;NA;5
2019-2020;63;1678;issue_resolution_feedback;NA;6
2023-2024;63;1679;account_registration;NA;1
2023-2024;63;1679;authentication;Y;2
2023-2024;63;1679;application;NA;3
2023-2024;63;1679;decision;NA;4
2023-2024;63;1679;issuance;Y;5
2023-2024;63;1679;issue_resolution_feedback;NA;6
2023-2024;99;168;account_registration;NA;1
2023-2024;99;168;authentication;NA;2
2023-2024;99;168;application;Y;3
2023-2024;99;168;decision;Y;4
2023-2024;99;168;issuance;Y;5
2023-2024;99;168;issue_resolution_feedback;NA;6
2023-2024;126;1680;account_registration;N;1
2023-2024;126;1680;authentication;Y;2
2023-2024;126;1680;application;Y;3
2023-2024;126;1680;decision;NA;4
2023-2024;126;1680;issuance;Y;5
2023-2024;126;1680;issue_resolution_feedback;NA;6
2019-2020;126;1681;account_registration;N;1
2019-2020;126;1681;authentication;N;2
2019-2020;126;1681;application;N;3
2019-2020;126;1681;decision;N;4
2019-2020;126;1681;issuance;N;5
2019-2020;126;1681;issue_resolution_feedback;N;6
2019-2020;126;1682;account_registration;N;1
2019-2020;126;1682;authentication;N;2
2019-2020;126;1682;application;N;3
2019-2020;126;1682;decision;N;4
2019-2020;126;1682;issuance;N;5
2019-2020;126;1682;issue_resolution_feedback;N;6
2023-2024;126;1683;account_registration;NA;1
2023-2024;126;1683;authentication;N;2
2023-2024;126;1683;application;Y;3
2023-2024;126;1683;decision;N;4
2023-2024;126;1683;issuance;N;5
2023-2024;126;1683;issue_resolution_feedback;Y;6
2018-2019;126;1684;account_registration;N;1
2018-2019;126;1684;authentication;N;2
2018-2019;126;1684;application;N;3
2018-2019;126;1684;decision;N;4
2018-2019;126;1684;issuance;N;5
2018-2019;126;1684;issue_resolution_feedback;N;6
2019-2020;126;1685;account_registration;N;1
2019-2020;126;1685;authentication;N;2
2019-2020;126;1685;application;N;3
2019-2020;126;1685;decision;N;4
2019-2020;126;1685;issuance;N;5
2019-2020;126;1685;issue_resolution_feedback;N;6
2019-2020;126;1686;account_registration;N;1
2019-2020;126;1686;authentication;N;2
2019-2020;126;1686;application;N;3
2019-2020;126;1686;decision;N;4
2019-2020;126;1686;issuance;N;5
2019-2020;126;1686;issue_resolution_feedback;N;6
2021-2022;126;1688;account_registration;N;1
2021-2022;126;1688;authentication;Y;2
2021-2022;126;1688;application;Y;3
2021-2022;126;1688;decision;Y;4
2021-2022;126;1688;issuance;Y;5
2021-2022;126;1688;issue_resolution_feedback;Y;6
2023-2024;126;1689;account_registration;N;1
2023-2024;126;1689;authentication;NA;2
2023-2024;126;1689;application;N;3
2023-2024;126;1689;decision;NA;4
2023-2024;126;1689;issuance;Y;5
2023-2024;126;1689;issue_resolution_feedback;N;6
2023-2024;230;169;account_registration;Y;1
2023-2024;230;169;authentication;Y;2
2023-2024;230;169;application;Y;3
2023-2024;230;169;decision;Y;4
2023-2024;230;169;issuance;NA;5
2023-2024;230;169;issue_resolution_feedback;Y;6
2023-2024;126;1690;account_registration;Y;1
2023-2024;126;1690;authentication;Y;2
2023-2024;126;1690;application;Y;3
2023-2024;126;1690;decision;N;4
2023-2024;126;1690;issuance;Y;5
2023-2024;126;1690;issue_resolution_feedback;N;6
2023-2024;126;1691;account_registration;Y;1
2023-2024;126;1691;authentication;Y;2
2023-2024;126;1691;application;Y;3
2023-2024;126;1691;decision;Y;4
2023-2024;126;1691;issuance;N;5
2023-2024;126;1691;issue_resolution_feedback;N;6
2021-2022;126;1693;account_registration;NA;1
2021-2022;126;1693;authentication;NA;2
2021-2022;126;1693;application;NA;3
2021-2022;126;1693;decision;NA;4
2021-2022;126;1693;issuance;NA;5
2021-2022;126;1693;issue_resolution_feedback;Y;6
2023-2024;126;1694;account_registration;NA;1
2023-2024;126;1694;authentication;NA;2
2023-2024;126;1694;application;N;3
2023-2024;126;1694;decision;NA;4
2023-2024;126;1694;issuance;NA;5
2023-2024;126;1694;issue_resolution_feedback;N;6
2021-2022;126;1695;account_registration;N;1
2021-2022;126;1695;authentication;N;2
2021-2022;126;1695;application;Y;3
2021-2022;126;1695;decision;N;4
2021-2022;126;1695;issuance;N;5
2021-2022;126;1695;issue_resolution_feedback;N;6
2021-2022;126;1696;account_registration;Y;1
2021-2022;126;1696;authentication;Y;2
2021-2022;126;1696;application;NA;3
2021-2022;126;1696;decision;NA;4
2021-2022;126;1696;issuance;NA;5
2021-2022;126;1696;issue_resolution_feedback;Y;6
2023-2024;126;1697;account_registration;Y;1
2023-2024;126;1697;authentication;N;2
2023-2024;126;1697;application;N;3
2023-2024;126;1697;decision;NA;4
2023-2024;126;1697;issuance;NA;5
2023-2024;126;1697;issue_resolution_feedback;N;6
2023-2024;126;1698;account_registration;Y;1
2023-2024;126;1698;authentication;Y;2
2023-2024;126;1698;application;Y;3
2023-2024;126;1698;decision;Y;4
2023-2024;126;1698;issuance;Y;5
2023-2024;126;1698;issue_resolution_feedback;Y;6
2023-2024;126;1699;account_registration;N;1
2023-2024;126;1699;authentication;N;2
2023-2024;126;1699;application;N;3
2023-2024;126;1699;decision;N;4
2023-2024;126;1699;issuance;N;5
2023-2024;126;1699;issue_resolution_feedback;Y;6
2018-2019;305;17;account_registration;Y;1
2018-2019;305;17;authentication;Y;2
2018-2019;305;17;application;NA;3
2018-2019;305;17;decision;NA;4
2018-2019;305;17;issuance;NA;5
2018-2019;305;17;issue_resolution_feedback;N;6
2023-2024;152;170;account_registration;N;1
2023-2024;152;170;authentication;N;2
2023-2024;152;170;application;N;3
2023-2024;152;170;decision;N;4
2023-2024;152;170;issuance;N;5
2023-2024;152;170;issue_resolution_feedback;N;6
2021-2022;138;1700;account_registration;NA;1
2021-2022;138;1700;authentication;NA;2
2021-2022;138;1700;application;NA;3
2021-2022;138;1700;decision;NA;4
2021-2022;138;1700;issuance;NA;5
2021-2022;138;1700;issue_resolution_feedback;NA;6
2021-2022;138;1701;account_registration;NA;1
2021-2022;138;1701;authentication;NA;2
2021-2022;138;1701;application;NA;3
2021-2022;138;1701;decision;NA;4
2021-2022;138;1701;issuance;NA;5
2021-2022;138;1701;issue_resolution_feedback;NA;6
2023-2024;126;1702;account_registration;NA;1
2023-2024;126;1702;authentication;NA;2
2023-2024;126;1702;application;NA;3
2023-2024;126;1702;decision;NA;4
2023-2024;126;1702;issuance;NA;5
2023-2024;126;1702;issue_resolution_feedback;NA;6
2019-2020;126;1703;account_registration;N;1
2019-2020;126;1703;authentication;N;2
2019-2020;126;1703;application;N;3
2019-2020;126;1703;decision;N;4
2019-2020;126;1703;issuance;N;5
2019-2020;126;1703;issue_resolution_feedback;N;6
2023-2024;126;1704;account_registration;NA;1
2023-2024;126;1704;authentication;NA;2
2023-2024;126;1704;application;NA;3
2023-2024;126;1704;decision;NA;4
2023-2024;126;1704;issuance;NA;5
2023-2024;126;1704;issue_resolution_feedback;NA;6
2019-2020;126;1705;account_registration;N;1
2019-2020;126;1705;authentication;N;2
2019-2020;126;1705;application;N;3
2019-2020;126;1705;decision;N;4
2019-2020;126;1705;issuance;N;5
2019-2020;126;1705;issue_resolution_feedback;N;6
2018-2019;129;1706;account_registration;Y;1
2018-2019;129;1706;authentication;N;2
2018-2019;129;1706;application;Y;3
2018-2019;129;1706;decision;N;4
2018-2019;129;1706;issuance;N;5
2018-2019;129;1706;issue_resolution_feedback;N;6
2021-2022;139;1707;account_registration;Y;1
2021-2022;139;1707;authentication;N;2
2021-2022;139;1707;application;Y;3
2021-2022;139;1707;decision;N;4
2021-2022;139;1707;issuance;N;5
2021-2022;139;1707;issue_resolution_feedback;N;6
2022-2023;134;1708;account_registration;NA;1
2022-2023;134;1708;authentication;NA;2
2022-2023;134;1708;application;N;3
2022-2023;134;1708;decision;N;4
2022-2023;134;1708;issuance;N;5
2022-2023;134;1708;issue_resolution_feedback;NA;6
2023-2024;134;1709;account_registration;Y;1
2023-2024;134;1709;authentication;NA;2
2023-2024;134;1709;application;Y;3
2023-2024;134;1709;decision;NA;4
2023-2024;134;1709;issuance;Y;5
2023-2024;134;1709;issue_resolution_feedback;Y;6
2023-2024;152;171;account_registration;NA;1
2023-2024;152;171;authentication;NA;2
2023-2024;152;171;application;NA;3
2023-2024;152;171;decision;NA;4
2023-2024;152;171;issuance;NA;5
2023-2024;152;171;issue_resolution_feedback;NA;6
2019-2020;63;1710;account_registration;NA;1
2019-2020;63;1710;authentication;NA;2
2019-2020;63;1710;application;NA;3
2019-2020;63;1710;decision;Y;4
2019-2020;63;1710;issuance;NA;5
2019-2020;63;1710;issue_resolution_feedback;NA;6
2023-2024;134;1711;account_registration;NA;1
2023-2024;134;1711;authentication;NA;2
2023-2024;134;1711;application;NA;3
2023-2024;134;1711;decision;NA;4
2023-2024;134;1711;issuance;NA;5
2023-2024;134;1711;issue_resolution_feedback;NA;6
2023-2024;134;1712;account_registration;NA;1
2023-2024;134;1712;authentication;NA;2
2023-2024;134;1712;application;N;3
2023-2024;134;1712;decision;N;4
2023-2024;134;1712;issuance;N;5
2023-2024;134;1712;issue_resolution_feedback;Y;6
2023-2024;95;1713;account_registration;N;1
2023-2024;95;1713;authentication;NA;2
2023-2024;95;1713;application;N;3
2023-2024;95;1713;decision;N;4
2023-2024;95;1713;issuance;NA;5
2023-2024;95;1713;issue_resolution_feedback;N;6
2019-2020;63;1714;account_registration;N;1
2019-2020;63;1714;authentication;N;2
2019-2020;63;1714;application;Y;3
2019-2020;63;1714;decision;Y;4
2019-2020;63;1714;issuance;NA;5
2019-2020;63;1714;issue_resolution_feedback;NA;6
2020-2021;134;1715;account_registration;Y;1
2020-2021;134;1715;authentication;N;2
2020-2021;134;1715;application;Y;3
2020-2021;134;1715;decision;N;4
2020-2021;134;1715;issuance;N;5
2020-2021;134;1715;issue_resolution_feedback;N;6
2023-2024;134;1716;account_registration;NA;1
2023-2024;134;1716;authentication;NA;2
2023-2024;134;1716;application;NA;3
2023-2024;134;1716;decision;NA;4
2023-2024;134;1716;issuance;NA;5
2023-2024;134;1716;issue_resolution_feedback;NA;6
2019-2020;348;1717;account_registration;Y;1
2019-2020;348;1717;authentication;N;2
2019-2020;348;1717;application;Y;3
2019-2020;348;1717;decision;N;4
2019-2020;348;1717;issuance;N;5
2019-2020;348;1717;issue_resolution_feedback;N;6
2019-2020;63;1718;account_registration;NA;1
2019-2020;63;1718;authentication;NA;2
2019-2020;63;1718;application;NA;3
2019-2020;63;1718;decision;NA;4
2019-2020;63;1718;issuance;NA;5
2019-2020;63;1718;issue_resolution_feedback;NA;6
2019-2020;63;1719;account_registration;Y;1
2019-2020;63;1719;authentication;N;2
2019-2020;63;1719;application;Y;3
2019-2020;63;1719;decision;N;4
2019-2020;63;1719;issuance;N;5
2019-2020;63;1719;issue_resolution_feedback;N;6
2023-2024;152;172;account_registration;N;1
2023-2024;152;172;authentication;N;2
2023-2024;152;172;application;Y;3
2023-2024;152;172;decision;N;4
2023-2024;152;172;issuance;N;5
2023-2024;152;172;issue_resolution_feedback;N;6
2023-2024;280;1720;account_registration;NA;1
2023-2024;280;1720;authentication;NA;2
2023-2024;280;1720;application;NA;3
2023-2024;280;1720;decision;NA;4
2023-2024;280;1720;issuance;NA;5
2023-2024;280;1720;issue_resolution_feedback;NA;6
2023-2024;63;1721;account_registration;NA;1
2023-2024;63;1721;authentication;NA;2
2023-2024;63;1721;application;NA;3
2023-2024;63;1721;decision;Y;4
2023-2024;63;1721;issuance;NA;5
2023-2024;63;1721;issue_resolution_feedback;NA;6
2023-2024;63;1722;account_registration;NA;1
2023-2024;63;1722;authentication;NA;2
2023-2024;63;1722;application;NA;3
2023-2024;63;1722;decision;Y;4
2023-2024;63;1722;issuance;NA;5
2023-2024;63;1722;issue_resolution_feedback;NA;6
2020-2021;539;1724;account_registration;NA;1
2020-2021;539;1724;authentication;NA;2
2020-2021;539;1724;application;NA;3
2020-2021;539;1724;decision;NA;4
2020-2021;539;1724;issuance;NA;5
2020-2021;539;1724;issue_resolution_feedback;NA;6
2019-2020;539;1725;account_registration;NA;1
2019-2020;539;1725;authentication;NA;2
2019-2020;539;1725;application;NA;3
2019-2020;539;1725;decision;NA;4
2019-2020;539;1725;issuance;NA;5
2019-2020;539;1725;issue_resolution_feedback;NA;6
2023-2024;151;1726;account_registration;Y;1
2023-2024;151;1726;authentication;NA;2
2023-2024;151;1726;application;Y;3
2023-2024;151;1726;decision;NA;4
2023-2024;151;1726;issuance;Y;5
2023-2024;151;1726;issue_resolution_feedback;Y;6
2023-2024;223;1728;account_registration;Y;1
2023-2024;223;1728;authentication;Y;2
2023-2024;223;1728;application;Y;3
2023-2024;223;1728;decision;Y;4
2023-2024;223;1728;issuance;Y;5
2023-2024;223;1728;issue_resolution_feedback;N;6
2023-2024;348;1729;account_registration;NA;1
2023-2024;348;1729;authentication;NA;2
2023-2024;348;1729;application;N;3
2023-2024;348;1729;decision;N;4
2023-2024;348;1729;issuance;NA;5
2023-2024;348;1729;issue_resolution_feedback;N;6
2023-2024;306;173;account_registration;Y;1
2023-2024;306;173;authentication;Y;2
2023-2024;306;173;application;Y;3
2023-2024;306;173;decision;Y;4
2023-2024;306;173;issuance;Y;5
2023-2024;306;173;issue_resolution_feedback;Y;6
2023-2024;348;1731;account_registration;NA;1
2023-2024;348;1731;authentication;NA;2
2023-2024;348;1731;application;NA;3
2023-2024;348;1731;decision;NA;4
2023-2024;348;1731;issuance;NA;5
2023-2024;348;1731;issue_resolution_feedback;NA;6
2018-2019;348;1732;account_registration;N;1
2018-2019;348;1732;authentication;N;2
2018-2019;348;1732;application;N;3
2018-2019;348;1732;decision;N;4
2018-2019;348;1732;issuance;N;5
2018-2019;348;1732;issue_resolution_feedback;N;6
2018-2019;348;1733;account_registration;N;1
2018-2019;348;1733;authentication;N;2
2018-2019;348;1733;application;N;3
2018-2019;348;1733;decision;N;4
2018-2019;348;1733;issuance;N;5
2018-2019;348;1733;issue_resolution_feedback;N;6
2018-2019;129;1734;account_registration;NA;1
2018-2019;129;1734;authentication;NA;2
2018-2019;129;1734;application;Y;3
2018-2019;129;1734;decision;NA;4
2018-2019;129;1734;issuance;NA;5
2018-2019;129;1734;issue_resolution_feedback;NA;6
2018-2019;129;1735;account_registration;NA;1
2018-2019;129;1735;authentication;NA;2
2018-2019;129;1735;application;NA;3
2018-2019;129;1735;decision;NA;4
2018-2019;129;1735;issuance;NA;5
2018-2019;129;1735;issue_resolution_feedback;NA;6
2018-2019;129;1736;account_registration;NA;1
2018-2019;129;1736;authentication;NA;2
2018-2019;129;1736;application;Y;3
2018-2019;129;1736;decision;NA;4
2018-2019;129;1736;issuance;NA;5
2018-2019;129;1736;issue_resolution_feedback;NA;6
2022-2023;125;1737;account_registration;N;1
2022-2023;125;1737;authentication;N;2
2022-2023;125;1737;application;N;3
2022-2023;125;1737;decision;N;4
2022-2023;125;1737;issuance;N;5
2022-2023;125;1737;issue_resolution_feedback;N;6
2022-2023;125;1738;account_registration;N;1
2022-2023;125;1738;authentication;N;2
2022-2023;125;1738;application;N;3
2022-2023;125;1738;decision;N;4
2022-2023;125;1738;issuance;N;5
2022-2023;125;1738;issue_resolution_feedback;N;6
2022-2023;125;1739;account_registration;N;1
2022-2023;125;1739;authentication;N;2
2022-2023;125;1739;application;N;3
2022-2023;125;1739;decision;N;4
2022-2023;125;1739;issuance;N;5
2022-2023;125;1739;issue_resolution_feedback;N;6
2023-2024;125;1740;account_registration;NA;1
2023-2024;125;1740;authentication;NA;2
2023-2024;125;1740;application;NA;3
2023-2024;125;1740;decision;NA;4
2023-2024;125;1740;issuance;NA;5
2023-2024;125;1740;issue_resolution_feedback;NA;6
2023-2024;125;1741;account_registration;NA;1
2023-2024;125;1741;authentication;Y;2
2023-2024;125;1741;application;Y;3
2023-2024;125;1741;decision;NA;4
2023-2024;125;1741;issuance;NA;5
2023-2024;125;1741;issue_resolution_feedback;NA;6
2021-2022;125;1742;account_registration;NA;1
2021-2022;125;1742;authentication;NA;2
2021-2022;125;1742;application;NA;3
2021-2022;125;1742;decision;NA;4
2021-2022;125;1742;issuance;NA;5
2021-2022;125;1742;issue_resolution_feedback;NA;6
2022-2023;125;1744;account_registration;N;1
2022-2023;125;1744;authentication;N;2
2022-2023;125;1744;application;N;3
2022-2023;125;1744;decision;N;4
2022-2023;125;1744;issuance;N;5
2022-2023;125;1744;issue_resolution_feedback;N;6
2023-2024;125;1745;account_registration;N;1
2023-2024;125;1745;authentication;N;2
2023-2024;125;1745;application;N;3
2023-2024;125;1745;decision;N;4
2023-2024;125;1745;issuance;N;5
2023-2024;125;1745;issue_resolution_feedback;N;6
2023-2024;125;1746;account_registration;NA;1
2023-2024;125;1746;authentication;NA;2
2023-2024;125;1746;application;NA;3
2023-2024;125;1746;decision;NA;4
2023-2024;125;1746;issuance;NA;5
2023-2024;125;1746;issue_resolution_feedback;NA;6
2023-2024;125;1747;account_registration;Y;1
2023-2024;125;1747;authentication;Y;2
2023-2024;125;1747;application;N;3
2023-2024;125;1747;decision;N;4
2023-2024;125;1747;issuance;Y;5
2023-2024;125;1747;issue_resolution_feedback;Y;6
2023-2024;125;1748;account_registration;N;1
2023-2024;125;1748;authentication;N;2
2023-2024;125;1748;application;N;3
2023-2024;125;1748;decision;N;4
2023-2024;125;1748;issuance;N;5
2023-2024;125;1748;issue_resolution_feedback;N;6
2023-2024;125;1749;account_registration;N;1
2023-2024;125;1749;authentication;N;2
2023-2024;125;1749;application;N;3
2023-2024;125;1749;decision;N;4
2023-2024;125;1749;issuance;N;5
2023-2024;125;1749;issue_resolution_feedback;N;6
2023-2024;125;1750;account_registration;N;1
2023-2024;125;1750;authentication;N;2
2023-2024;125;1750;application;N;3
2023-2024;125;1750;decision;N;4
2023-2024;125;1750;issuance;N;5
2023-2024;125;1750;issue_resolution_feedback;Y;6
2018-2019;129;1751;account_registration;N;1
2018-2019;129;1751;authentication;N;2
2018-2019;129;1751;application;N;3
2018-2019;129;1751;decision;N;4
2018-2019;129;1751;issuance;N;5
2018-2019;129;1751;issue_resolution_feedback;N;6
2018-2019;129;1752;account_registration;N;1
2018-2019;129;1752;authentication;N;2
2018-2019;129;1752;application;N;3
2018-2019;129;1752;decision;N;4
2018-2019;129;1752;issuance;N;5
2018-2019;129;1752;issue_resolution_feedback;N;6
2018-2019;129;1753;account_registration;N;1
2018-2019;129;1753;authentication;N;2
2018-2019;129;1753;application;N;3
2018-2019;129;1753;decision;N;4
2018-2019;129;1753;issuance;N;5
2018-2019;129;1753;issue_resolution_feedback;N;6
2018-2019;129;1754;account_registration;N;1
2018-2019;129;1754;authentication;N;2
2018-2019;129;1754;application;N;3
2018-2019;129;1754;decision;N;4
2018-2019;129;1754;issuance;N;5
2018-2019;129;1754;issue_resolution_feedback;N;6
2023-2024;348;1755;account_registration;NA;1
2023-2024;348;1755;authentication;NA;2
2023-2024;348;1755;application;NA;3
2023-2024;348;1755;decision;NA;4
2023-2024;348;1755;issuance;NA;5
2023-2024;348;1755;issue_resolution_feedback;NA;6
2023-2024;348;1756;account_registration;NA;1
2023-2024;348;1756;authentication;NA;2
2023-2024;348;1756;application;NA;3
2023-2024;348;1756;decision;NA;4
2023-2024;348;1756;issuance;NA;5
2023-2024;348;1756;issue_resolution_feedback;NA;6
2023-2024;348;1757;account_registration;NA;1
2023-2024;348;1757;authentication;NA;2
2023-2024;348;1757;application;NA;3
2023-2024;348;1757;decision;NA;4
2023-2024;348;1757;issuance;NA;5
2023-2024;348;1757;issue_resolution_feedback;NA;6
2023-2024;348;1758;account_registration;NA;1
2023-2024;348;1758;authentication;NA;2
2023-2024;348;1758;application;NA;3
2023-2024;348;1758;decision;NA;4
2023-2024;348;1758;issuance;NA;5
2023-2024;348;1758;issue_resolution_feedback;NA;6
2023-2024;348;1759;account_registration;NA;1
2023-2024;348;1759;authentication;NA;2
2023-2024;348;1759;application;NA;3
2023-2024;348;1759;decision;NA;4
2023-2024;348;1759;issuance;NA;5
2023-2024;348;1759;issue_resolution_feedback;NA;6
2023-2024;348;1760;account_registration;NA;1
2023-2024;348;1760;authentication;NA;2
2023-2024;348;1760;application;NA;3
2023-2024;348;1760;decision;NA;4
2023-2024;348;1760;issuance;NA;5
2023-2024;348;1760;issue_resolution_feedback;NA;6
2023-2024;348;1761;account_registration;NA;1
2023-2024;348;1761;authentication;NA;2
2023-2024;348;1761;application;NA;3
2023-2024;348;1761;decision;NA;4
2023-2024;348;1761;issuance;NA;5
2023-2024;348;1761;issue_resolution_feedback;NA;6
2023-2024;348;1763;account_registration;NA;1
2023-2024;348;1763;authentication;NA;2
2023-2024;348;1763;application;NA;3
2023-2024;348;1763;decision;NA;4
2023-2024;348;1763;issuance;NA;5
2023-2024;348;1763;issue_resolution_feedback;NA;6
2023-2024;348;1764;account_registration;NA;1
2023-2024;348;1764;authentication;NA;2
2023-2024;348;1764;application;NA;3
2023-2024;348;1764;decision;NA;4
2023-2024;348;1764;issuance;NA;5
2023-2024;348;1764;issue_resolution_feedback;NA;6
2023-2024;348;1765;account_registration;NA;1
2023-2024;348;1765;authentication;NA;2
2023-2024;348;1765;application;NA;3
2023-2024;348;1765;decision;NA;4
2023-2024;348;1765;issuance;NA;5
2023-2024;348;1765;issue_resolution_feedback;NA;6
2021-2022;348;1766;account_registration;NA;1
2021-2022;348;1766;authentication;NA;2
2021-2022;348;1766;application;NA;3
2021-2022;348;1766;decision;NA;4
2021-2022;348;1766;issuance;NA;5
2021-2022;348;1766;issue_resolution_feedback;NA;6
2023-2024;348;1767;account_registration;NA;1
2023-2024;348;1767;authentication;NA;2
2023-2024;348;1767;application;NA;3
2023-2024;348;1767;decision;NA;4
2023-2024;348;1767;issuance;NA;5
2023-2024;348;1767;issue_resolution_feedback;NA;6
2021-2022;348;1768;account_registration;NA;1
2021-2022;348;1768;authentication;NA;2
2021-2022;348;1768;application;NA;3
2021-2022;348;1768;decision;NA;4
