org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
46;2024-2025;BRA03;2020-2021;2020-2021;actual;spending;470623139.82;2020-2021
46;2024-2025;BRA04;2020-2021;2020-2021;actual;spending;860364454.39;2020-2021
46;2024-2025;BRA05;2020-2021;2020-2021;actual;spending;470693837.3;2020-2021
46;2024-2025;BRA06;2020-2021;2020-2021;actual;spending;226040457.58;2020-2021
46;2024-2025;BRA07;2020-2021;2020-2021;actual;spending;25732803.08;2020-2021
46;2024-2025;BRA08;2020-2021;2020-2021;actual;spending;19364822.32;2020-2021
46;2024-2025;BRA09;2020-2021;2020-2021;actual;spending;43235305.33;2020-2021
46;2024-2025;BRA10;2020-2021;2020-2021;actual;spending;24686875.32;2020-2021
46;2024-2025;BRA11;2020-2021;2020-2021;actual;spending;118788868.07;2020-2021
46;2024-2025;BRB01;2020-2021;2020-2021;actual;spending;5147281793.28;2020-2021
46;2024-2025;BRC01;2020-2021;2020-2021;actual;spending;4614641.29;2020-2021
46;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;172947191.9;2020-2021
46;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;46633384.22;2020-2021
46;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;2949255.69;2020-2021
46;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;144962710.49;2020-2021
46;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;55520062.72;2020-2021
46;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;17482853.85;2020-2021
46;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;418841857.92;2020-2021
46;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;38533609.66;2020-2021
46;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;34789042.81;2020-2021
46;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;11186344.11;2020-2021
47;2024-2025;BTR01;2020-2021;2020-2021;actual;spending;56617690.23;2020-2021
47;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;25665143.01;2020-2021
55;2024-2025;BFZ01;2020-2021;2020-2021;actual;spending;7577113.53;2020-2021
55;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;4128539.2;2020-2021
63;2024-2025;BGV01;2020-2021;2020-2021;actual;spending;30314230.43;2020-2021
63;2024-2025;BGV02;2020-2021;2020-2021;actual;spending;36885954.89;2020-2021
63;2024-2025;ISS20;2020-2021;2020-2021;actual;spending;9683304.16;2020-2021
65;2024-2025;BUH01;2020-2021;2020-2021;actual;spending;19176375.51;2020-2021
65;2024-2025;BUH02;2020-2021;2020-2021;actual;spending;1871085.75;2020-2021
65;2024-2025;BUH03;2020-2021;2020-2021;actual;spending;39944893.28;2020-2021
65;2024-2025;BUH04;2020-2021;2020-2021;actual;spending;25914950.88;2020-2021
65;2024-2025;BUH05;2020-2021;2020-2021;actual;spending;32690014.64;2020-2021
65;2024-2025;BUH06;2020-2021;2020-2021;actual;spending;7700006.0;2020-2021
65;2024-2025;BUH07;2020-2021;2020-2021;actual;spending;67930884.96;2020-2021
65;2024-2025;BUH08;2020-2021;2020-2021;actual;spending;24150392.25;2020-2021
65;2024-2025;BUH09;2020-2021;2020-2021;actual;spending;52626053.44;2020-2021
65;2024-2025;BUH10;2020-2021;2020-2021;actual;spending;16289900.41;2020-2021
65;2024-2025;BUH11;2020-2021;2020-2021;actual;spending;295851006.82;2020-2021
65;2024-2025;BUH12;2020-2021;2020-2021;actual;spending;40353484.55;2020-2021
65;2024-2025;BUH13;2020-2021;2020-2021;actual;spending;6036842.52;2020-2021
65;2024-2025;BUH14;2020-2021;2020-2021;actual;spending;4433164.69;2020-2021
65;2024-2025;BUH15;2020-2021;2020-2021;actual;spending;10621453.94;2020-2021
65;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;15633038.46;2020-2021
65;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;13847310.18;2020-2021
65;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;12686148.31;2020-2021
65;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;30323064.69;2020-2021
65;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;17957832.35;2020-2021
65;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;7727441.53;2020-2021
65;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;48667008.96;2020-2021
65;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;14586036.08;2020-2021
65;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;729268.42;2020-2021
65;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;1815960.19;2020-2021
69;2024-2025;BGB01;2020-2021;2020-2021;actual;spending;-45430411.09;2020-2021
69;2024-2025;BGB02;2020-2021;2020-2021;actual;spending;9859804.21;2020-2021
69;2024-2025;BGB03;2020-2021;2020-2021;actual;spending;2132108.11;2020-2021
69;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;21592592.39;2020-2021
71;2024-2025;BSA01;2020-2021;2020-2021;actual;spending;4515622.61;2020-2021
71;2024-2025;BSB01;2020-2021;2020-2021;actual;spending;11855772.66;2020-2021
71;2024-2025;BSC01;2020-2021;2020-2021;actual;spending;4425403.59;2020-2021
71;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;10202360.2;2020-2021
74;2024-2025;BUI01;2020-2021;2020-2021;actual;spending;859661436.8;2020-2021
74;2024-2025;BUI02;2020-2021;2020-2021;actual;spending;70150951.72;2020-2021
74;2024-2025;BUI03;2020-2021;2020-2021;actual;spending;540281992.57;2020-2021
74;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;10261518.87;2020-2021
74;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;4813748.74;2020-2021
74;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;201498.13;2020-2021
74;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;3154489.4;2020-2021
74;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;3236533.06;2020-2021
74;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;2132968.81;2020-2021
74;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;8132465.93;2020-2021
74;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;840016.18;2020-2021
74;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;223057.07;2020-2021
74;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;370882.64;2020-2021
76;2024-2025;BWV01;2020-2021;2020-2021;actual;spending;3369648.69;2020-2021
76;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;1295594.19;2020-2021
86;2024-2025;BNL01;2020-2021;2020-2021;actual;spending;18917761.66;2020-2021
86;2024-2025;BNL02;2020-2021;2020-2021;actual;spending;68732301.55;2020-2021
86;2024-2025;BNL03;2020-2021;2020-2021;actual;spending;2331866.71;2020-2021
86;2024-2025;BNL04;2020-2021;2020-2021;actual;spending;2190244.33;2020-2021
86;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;9047110.55;2020-2021
87;2024-2025;BTJ01;2020-2021;2020-2021;actual;spending;11272970.42;2020-2021
87;2024-2025;BTJ02;2020-2021;2020-2021;actual;spending;42353756.94;2020-2021
87;2024-2025;BTJ03;2020-2021;2020-2021;actual;spending;11142050.33;2020-2021
87;2024-2025;BTJ04;2020-2021;2020-2021;actual;spending;3916108.06;2020-2021
87;2024-2025;BTJ05;2020-2021;2020-2021;actual;spending;24177760.66;2020-2021
87;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;46664375.11;2020-2021
93;2024-2025;BRT01;2020-2021;2020-2021;actual;spending;14061780.59;2020-2021
93;2024-2025;BRT02;2020-2021;2020-2021;actual;spending;7590698.83;2020-2021
93;2024-2025;BRT03;2020-2021;2020-2021;actual;spending;7745289.88;2020-2021
93;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;9937340.84;2020-2021
95;2024-2025;BLM01;2020-2021;2020-2021;actual;spending;112038891.76;2020-2021
95;2024-2025;BLM02;2020-2021;2020-2021;actual;spending;54262083.45;2020-2021
95;2024-2025;BLM03;2020-2021;2020-2021;actual;spending;105653273.7;2020-2021
95;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;13694224.66;2020-2021
95;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;5325198.75;2020-2021
95;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;1336575.45;2020-2021
95;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;4684880.38;2020-2021
95;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;6264082.42;2020-2021
95;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;2466863.63;2020-2021
95;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;6938666.11;2020-2021
95;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;16466152.03;2020-2021
95;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;438945.42;2020-2021
95;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;839814.54;2020-2021
98;2024-2025;BWA01;2020-2021;2020-2021;actual;spending;15363552.78;2020-2021
