,fiscal_year,total_transactions,online applications,phone applications,mail applications,in_person_apps,online_share,phone_share,in_person_share,Omnichannel_Service_Count,Total_Service_Count,GC_services_with_omnichannel (%),Total_Transactions_Omnichannel,omnichannel_online_apps,Online_Share_of_Omnichannel_Usage (%),Omnichannel_phone_apps,Phone_Share_of_Omnichannel_Usage (%),omnichannel_inperson_apps,In-Person_Share_of_Omnichannel_Usage (%),external_departments,number_of_programs,external_services,high_volume_services,service_onlineE2E_%,at_least_1point_onl_%,Standards_Meeting_Targets%
0,2018-2019,421133885.0,174630378.0,53099291.0,42316481.0,118928362.0,0.41466712658374666,0.12608648434927053,0.28240036301044735,1244,1244,100.0,421133885.0,174630378.0,41.46671265837467,53099291.0,12.608648434927053,118928362.0,28.240036301044736,72,510,1132,117.0,18.727915194346288,47.70318021201413,68.7603305785124
1,2019-2020,412398882.0,156831471.0,90704008.0,33221419.0,111052720.0,0.3802907278492574,0.21994241972751033,0.26928472614045545,1282,1282,100.0,412398882.0,156831471.0,38.02907278492574,90704008.0,21.994241972751034,111052720.0,26.928472614045546,76,531,1181,126.0,18.374259102455547,48.010160880609654,71.72100075815011
2,2020-2021,386183263.0,202706431.0,137242208.0,19468112.0,15198693.0,0.5248969865377102,0.3553810357648773,0.03935616702270186,1426,1426,100.0,386183263.0,202706431.0,52.48969865377102,137242208.0,35.53810357648773,15198693.0,3.935616702270186,77,557,1304,123.0,22.699386503067483,49.463190184049076,72.15411558669001
3,2021-2022,358629620.0,196235510.0,104413441.0,22377948.0,27955327.0,0.547181546242611,0.29114561424123303,0.07795041301942655,1610,1610,100.0,358629620.0,196235510.0,54.718154624261096,104413441.0,29.114561424123302,27955327.0,7.795041301942655,77,542,1482,134.0,21.524966261808366,46.01889338731444,67.42987979393246
4,2022-2023,464461678.0,268647250.0,72927098.0,31707932.0,78959836.0,0.5784056311315312,0.15701424133424416,0.17000290818395572,1690,1690,100.0,464461678.0,268647250.0,57.840563113153124,72927098.0,15.701424133424416,78959836.0,17.000290818395573,74,538,1560,116.0,22.05128205128205,44.67948717948718,68.88423258250393
5,2023-2024,462845966.0,254970341.0,71119731.0,21405253.0,102586170.0,0.5508751501141959,0.15365745026283756,0.22164213914743292,1680,1680,100.0,462845966.0,254970341.0,55.08751501141958,71119731.0,15.365745026283756,102586170.0,22.164213914743293,76,1,1559,117.0,24.053880692751765,45.67030147530468,73.35722819593788
6,2024-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,0.0,0.0,,0.0,,0.0,,1,1,1,,0.0,0.0,
