fiscal_yr,online_end2end,at_least1point_onl,highvol_ser,online_end2end%,at_least1point_onl%,standards_meeting_target%
2018-2019,32,84,117,27.350427350427353,71.7948717948718,63.52201257861635
2019-2020,44,96,126,34.92063492063492,76.19047619047619,73.19587628865979
2020-2021,59,95,123,47.96747967479675,77.23577235772358,51.81159420289855
2021-2022,63,106,134,47.01492537313433,79.1044776119403,48.1651376146789
2022-2023,50,89,116,43.103448275862064,76.72413793103449,66.78445229681978
2023-2024,55,88,117,47.008547008547005,75.21367521367522,67.36111111111111
2024-2025,0,0,0,,,
