FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,CR_EN_NM,CR_FR_NM,OP_ATH_AVLBL_AMT,OP_ATHRTY_CY_AMT,CP_ATH_AVLBL_AMT,CP_ATHRTY_CY_AMT,TP_ATH_AVLBL_AMT,TP_ATHRTY_CY_AMT,RVN_ATH_AVLBL_AMT,RVN_ATHRTY_CY_AMT,NB_ATH_AVLBL_AMT,NB_ATHRTY_CY_AMT
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Sector Risk,Risques du secteur,57276246,54432298,4195412,4178861,2253157710,2242338444,1000000,363620,-1525336,-1525336
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Science and Innovation,Science et innovation,466018025,448709230,56391718,49788014,417948710,346363096,25000000,15258430,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Domestic and International Markets,Marchés nationaux et internationaux,107429854,94200150,1481300,1127791,715695740,688573709,8418454,8326826,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Internal Services,Services internes,281401223,278534527,4420000,4312829,0,0,28000000,25168674,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Farm Credit Canada,Financement agricole Canada,Farm Credit Canada,Financement agricole Canada,0,0,0,0,0,0,0,0,61076667000,-1458333000
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,134,Canadian Dairy Commission,Commission canadienne du lait,Canadian Dairy Commission,Commission canadienne du lait,5375706,5375706,0,0,0,0,0,0,500000000,13214240
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,133,Canadian Grain Commission,Commission canadienne des grains,Grain Regulation,Réglementation des grains,128037747,51421623,0,0,0,0,39349312,50970583,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,133,Canadian Grain Commission,Commission canadienne des grains,Internal Services,Services internes,74790230,24890877,0,0,0,0,26281901,21861,0,0
2023/2024,01,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Ecomonic Development in Atlantic Canada,Développement économique au Canada atlantique,55482554,50379489,0,0,437992095,396798949,0,0,0,0
2023/2024,01,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Internal Services,Services internes,33177170,31252148,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,"Creativity, Arts and Culture","Créativité, arts et culture",58890265,57466354,0,0,630707778,630428351,7129950,7129950,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Official Languages,Langues officielles,24263265,24011273,0,0,582681701,581619965,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Diversity and Inclusion,Diversité et inclusion,31324503,30090816,0,0,315468969,278690523,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Sport,Sport,17949282,17837815,0,0,265863422,264902655,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Heritage and Celebration,Patrimoine et célébrations,61618836,60232511,0,0,111494315,111171940,794785,794785,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Internal Services,Services internes,111341303,106434969,0,0,0,0,2501136,2501136,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canada Council for the Arts,Conseil des Arts du Canada,Canada Council for the Arts,Conseil des Arts du Canada,369463611,369338611,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Broadcasting Corporation,Société Radio-Canada,Canadian Broadcasting Corporation,Société Radio-Canada,1344238531,1344113531,110046000,110046000,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum for Human Rights,Musée canadien des droits de la personne,Canadian Museum for Human Rights,Musée canadien des droits de la personne,28859366,28794533,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of History,Musée canadien de l'histoire,Canadian Museum of History,Musée canadien de l'histoire,85628749,85563916,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,10060894,10060894,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of Nature,Musée canadien de la nature,Canadian Museum of Nature,Musée canadien de la nature,32381178,32316345,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,9000000,9000000,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,National Arts Centre Corporation,Société du Centre national des Arts,National Arts Centre Corporation,Société du Centre national des Arts,67273340,66359661,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,National Gallery of Canada,Musée des beaux-arts du Canada,National Gallery of Canada,Musée des beaux-arts du Canada,50791966,50727132,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,National Museum of Science and Technology,Musée national des sciences et de la technologie,National Museum of Science and Technology,Musée national des sciences et de la technologie,40360343,40360343,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,016,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Regulate and Supervise the Communications System,Réglementer et surveiller le système de communication,76001028,69349918,0,0,0,0,58181976,53166589,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,016,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Internal Services,Services internes,24207011,23231620,0,0,0,0,18946576,19508801,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,145,Library and Archives of Canada,Bibliothèque et Archives du Canada,Acquiring and preserving documentary heritage,Acquérir et préserver le patrimoine documentaire,81559102,79785616,18329372,5603851,0,0,436080,396960,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,145,Library and Archives of Canada,Bibliothèque et Archives du Canada,Providing access to documentary heritage,Donner accès au patrimoine documentaire,53677266,49588607,36235248,32554591,3305000,3266260,4568220,1997722,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,145,Library and Archives of Canada,Bibliothèque et Archives du Canada,Internal Services,Services internes,49678648,48434747,175000,157628,0,0,195700,117635,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,039,National Film Board,Office national du film,Audiovisual programming and production,Programmation et production audiovisuelles,46804126,37531154,0,0,0,0,1425000,1124825,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,039,National Film Board,Office national du film,Content accessibility and audience engagement,Accessibilité des oeuvres et interaction avec les auditoires,35348840,26888620,0,0,0,0,6977446,3645569,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,039,National Film Board,Office national du film,Internal Services,Services internes,14457616,12031844,0,0,0,0,50000,74442,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,037,Telefilm Canada,Téléfilm Canada,Funding the production of Canadian content,Financement à la production de contenus canadiens,106509788,107173011,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,037,Telefilm Canada,Téléfilm Canada,Promoting Canadian talent and content,Promotion des talents et des contenus canadiens,29867809,33089702,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,037,Telefilm Canada,Téléfilm Canada,Internal Services,Services internes,19023547,15013431,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,102,The National Battlefields Commission,Commission des champs de bataille nationaux,Conservation,Conservation,11581948,9974557,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,102,The National Battlefields Commission,Commission des champs de bataille nationaux,Promotion of Heritage,Promotion du patrimoine,2784381,2808419,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,102,The National Battlefields Commission,Commission des champs de bataille nationaux,Internal Services,Services internes,7390944,7361053,0,0,0,0,0,0,0,0
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Crown-Indigenous Relations,Relations Couronne-Autochtones,10790334620,9453595490,0,0,14434657452,5744796997,0,0,37759363,19253808
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Northern Affairs,Affaires du Nord,580408201,474479442,248492,231857,489025953,482824849,0,0,0,0
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Internal Services,Services internes,250803833,231062571,148804,100790,0,0,38124668,36485441,0,0
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,171,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique,Polar Science and Knowledge,Science et savoir polaires,19242021,18156806,0,0,7796000,7746216,0,0,0,0
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,171,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique,Internal Services,Services internes,12017704,11528676,946999,0,0,0,0,0,0,0
2023/2024,26,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Economic Development in Quebec,Développer l'économie du Québec,30888693,28993106,0,0,534744760,507176101,0,0,0,0
2023/2024,26,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Internal Services,Services internes,26469531,27013595,0,0,0,0,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Pensions and Benefits,Régimes de pension et prestations,1122460748,1046373621,0,0,76768099840,76768099840,399661973,388816169,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Learning, Skills Development and Employment","Apprentissage, développement des compétences et emploi",2775548531,2556010244,0,0,8131304134,7847777640,1746404472,1546832333,2097159401,2097159401
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Social Development,Développement social,89636105,83212344,0,0,6815969443,6801219317,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Information Delivery and Services for Other Departments,Diffusion d'information et prestation de services au nom d'autres ministères,548449965,545781524,0,0,0,0,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Working Conditions and Workplace Relations,Conditions et relations de travail,122549983,119678632,0,0,78572993,78572992,1800000,1229333,3427000,3427000
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Internal Services,Services internes,1454877491,1399457960,0,0,0,0,894734171,865925565,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,199,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,Accessibility Standards,Normes d'accessibilité,7957930,8052026,0,0,8500000,8500000,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,199,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,Internal Services,Services internes,5880499,5037179,0,0,0,0,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,100,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,National Occupational Health and Safety Resource,Ressource nationale en matière de santé et de sécurité au travail,15709621,10256443,0,0,0,0,0,0,0,0
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,100,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,Internal Services,Services internes,7036455,4756067,0,0,0,0,0,0,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Taking Action on Clean Growth and Climate Change,Prendre des mesures visant la croissance propre et les changements climatiques,181650899,168506083,8712811,2522484,800566796,399720175,0,0,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Conserving Nature,Préservation de la nature,266244738,253533904,21936220,16102753,454954620,454910244,4438865,4438865,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Preventing and Managing Pollution,Prévention et gestion de la pollution,406521768,397485554,32286374,22751194,67037240,66841933,15602265,15602265,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Predicting Weather and Environmental Conditions,Prévisions des conditions météorologiques et environnementales,298859948,285936215,59087928,40709724,8958442,8844370,54299102,54299102,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007,Department of the Environment,Ministère de l'Environnement,Internal Services,Services internes,307641111,307139743,15431570,12391933,0,0,926621,926621,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007a,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Impact Assessment,Évaluation d'impact,72485776,57973285,0,0,21353903,21353902,7998416,684646,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,007a,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Internal Services,Services internes,21459542,18904859,0,0,0,0,2584,2584,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,124,Parks Canada Agency,Agence Parcs Canada,Protecting and Presenting Canada's Natural and Cultural Heritage,Protéger et mettre en valeur le patrimoine naturel et culturel du Canada,1013274355,894516267,372248458,287914599,100225770,87957544,0,0,0,0
2023/2024,06,Environment and Climate Change,Environnement et Changement climatique,124,Parks Canada Agency,Agence Parcs Canada,Internal Services,Services internes,179923075,179923074,8268855,2236949,0,0,0,0,0,0
2023/2024,07,Finance,Finances,006,Department of Finance,Ministère des Finances,Economic and Fiscal Policy,Politiques économique et budgétaire,44367297232,44289494130,0,0,91172103768,91164253768,0,0,76583974303,76583974303
2023/2024,07,Finance,Finances,006,Department of Finance,Ministère des Finances,Internal Services,Services internes,58042663,57703035,0,0,0,0,150000,0,0,0
2023/2024,07,Finance,Finances,006,Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,0,0,0,0,0,0,0,0,35000000000,0
2023/2024,07,Finance,Finances,141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Protection of financial consumers,Protection des consommateurs de produits et services financiers,19396399,19396399,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,141,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Internal Services,Services internes,33970777,33970777,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations,Assurer la conformité à la législation et à la réglementation de lutte contre le blanchiment d'argent et le financement des activités terroristes,31310712,30938502,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Production and Dissemination of Financial Intelligence,Production et communication de renseignements financiers,25834868,25037459,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,139,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Internal Services,Services internes,62811912,42646958,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,002,Office of the Auditor General,Bureau du vérificateur général,Legislative Auditing,Audit législatif,139208091,136734801,0,0,0,0,2660000,1805047,0,0
2023/2024,07,Finance,Finances,011,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Financial Institution and Pension Plan Regulation and Supervision,Réglementation et surveillance - institutions financières et régimes de retraite,197433969,162579294,810000,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,011,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Actuarial Services to Federal Government Organizations,Services actuariels aux organismes fédéraux,11891119,11745076,0,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,011,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Internal Services,Services internes,133662145,137147390,26000000,0,0,0,0,0,0,0
2023/2024,07,Finance,Finances,006,Royal Canadian Mint,Monnaie royale canadienne,Royal Canadian Mint,Monnaie royale canadienne,0,0,0,0,0,0,0,0,75000000,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Marine Operations and Response,Opérations maritimes et intervention,820083665,814389586,1180520018,958636982,37497494,25645874,0,0,0,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Fisheries,Pêches,721458916,718299619,228903421,182775247,581661410,421278329,0,0,0,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Aquatic Ecosystems,Écosystèmes aquatiques,328720608,306716958,12435259,8263426,154791119,143668645,0,0,0,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Marine Navigation,Navigation maritime,311035075,310970594,127858338,96212121,1155339,420256,46310474,46310474,0,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Internal Services,Services internes,536938549,505974969,159505271,98620275,500000,500000,0,0,0,0
2023/2024,08,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,0,0,0,0,0,0,0,0,50000000,0
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Development, Peace and Security Programming","Programmation en matière de développement, de paix et de sécurité",238482518,190229369,5924753,5247492,5221261044,5173295530,0,0,201000000,201000000
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Support for Canada's Presence Abroad,Soutien à la présence du Canada à l'étranger,1224920167,1186603440,191544442,95495072,0,0,56925000,53063003,15269125,0
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",International Advocacy and Diplomacy,Diplomatie et défense des intérêts à l'échelle internationale,462676411,421522298,4369103,3351302,620914550,581795170,0,0,0,0
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Trade and Investment,Commerce et investissements,320959037,309327122,8480550,7865614,74750351,63154605,2000000,91500,97050100284,0
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Help for Canadians Abroad,Aide aux Canadiens à l'étranger,88767805,86854246,1159150,614678,0,0,2400000,1491626,0,0
2023/2024,09,Global Affairs,Affaires mondiales,005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",Internal Services,Services internes,388001562,355860678,35484960,31421686,683415,683415,1180000,596289,0,983793
2023/2024,09,Global Affairs,Affaires mondiales,005,Canadian Commercial Corporation,Corporation commerciale canadienne,Canadian Commercial Corporation,Corporation commerciale canadienne,13962379,13962379,0,0,0,0,0,0,10000000,0
2023/2024,09,Global Affairs,Affaires mondiales,005,International Development Research Centre,Centre de recherches pour le développement international,International Development Research Centre,Centre de recherches pour le développement international,164605641,164605641,0,0,0,0,0,0,0,0
2023/2024,09,Global Affairs,Affaires mondiales,123,Export Development Canada (Canada Account),Exportation et développement Canada (Compte du Canada),Export Development Canada (Canada Account),Exportation et développement Canada (Compte du Canada),10522747357,10522747357,0,0,0,0,0,0,58046108249,-30533989683
2023/2024,09,Global Affairs,Affaires mondiales,024,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),Shared water resources management,Gestion des ressources communes en eau,9285271,7373474,0,0,0,0,0,0,0,0
2023/2024,09,Global Affairs,Affaires mondiales,024,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),Great Lakes water quality management,Gestion de la qualité de l'eau des Grands Lacs,1820062,1818563,0,0,0,0,0,0,0,0
2023/2024,09,Global Affairs,Affaires mondiales,180,Invest in Canada Hub,Investir au Canada,Foreign Direct Investment Attraction,Attirer de l'investissement direct étranger,28201792,28116015,0,0,0,0,0,0,0,0
2023/2024,09,Global Affairs,Affaires mondiales,180,Invest in Canada Hub,Investir au Canada,Internal Services,Services internes,7464932,6155728,0,0,0,0,0,0,0,0
2023/2024,11,Health,Santé,022,Department of Health,Ministère de la Santé,Health Care Systems,Systèmes de soins de santé,424289403,268617314,0,0,5607610723,5101011134,0,0,0,0
2023/2024,11,Health,Santé,022,Department of Health,Ministère de la Santé,Health Protection and Promotion,Protection et promotion de la santé,1015896562,1000031454,20976735,17818921,144136145,143384721,215351429,215351429,0,0
2023/2024,11,Health,Santé,022,Department of Health,Ministère de la Santé,Internal Services,Services internes,555365576,542626016,12777588,12342306,0,0,28187218,28187218,0,0
2023/2024,11,Health,Santé,136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Safe food and healthy plants and animals,Salubrité des aliments et végétaux et animaux sains,773887454,723104667,49182366,41496798,112728953,112728953,0,0,0,0
2023/2024,11,Health,Santé,136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Internal Services,Services internes,219480489,186513649,15477419,15477419,0,0,0,0,0,0
2023/2024,11,Health,Santé,061,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,Funding Health Research and Training,Financement de la recherche et de la formation en santé,45179164,43099698,0,0,1283479883,1258382393,0,0,0,0
2023/2024,11,Health,Santé,061,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,Internal Services,Services internes,47973448,46974106,0,0,0,0,0,0,0,0
2023/2024,11,Health,Santé,109,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,Regulate Patented Medicine Prices,Réglementer les prix des médicaments brevetés,14568438,10223542,0,0,0,0,0,0,0,0
2023/2024,11,Health,Santé,109,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,Internal Services,Services internes,4032672,3820603,0,0,0,0,0,0,0,0
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,Infectious Disease Prevention and Control,Prévention et contrôle des maladies infectieuses,4029881386,3161670751,40233437,13122382,263498294,225123032,0,0,0,0
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,Health Promotion and Chronic Disease Prevention,Promotion de la santé et prévention de maladies chroniques,132601198,114797637,0,0,385004375,333675053,0,0,0,0
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,Health Security,Sécurité sanitaire,434691070,340066465,8368750,6046769,1248666,1231270,893282,893282,0,0
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,Internal Services,Services internes,237517241,232780517,2780000,910769,0,0,0,0,0,0
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Immigrant and Refugee Selection and Integration,Sélection et intégration des immigrants et des réfugiés,1790326359,1678605824,2830762,2640581,3343084889,2993638276,0,0,150043385,104341322
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,"Visitors, International Students and Temporary Workers","Visiteurs, étudiants étrangers et travailleurs temporaires",550337269,532428740,0,0,0,0,14248500,12073198,0,0
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Citizenship and Passports,Citoyenneté et passeports,1089819026,848337891,140303,140302,0,0,652038766,604166263,0,0
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Internal Services,Services internes,698555545,543825610,20599101,10877553,0,0,0,0,0,0
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",032,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Adjudication of immigration and refugee cases,Règlement des cas d'immigration et de statut de réfugié,292479239,253103633,0,0,0,0,0,0,0,0
2023/2024,05,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",032,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Internal Services,Services internes,84793010,88152882,0,0,0,0,0,0,0,0
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Indigenous Well-Being and Self-Determination,Bien-être et autodétermination des Autochtones,27425596691,26486119493,5509817,5029188,20076654995,19654861584,5980005,5980005,48517156,0
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Internal Services,Services internes,401257997,383020036,5312684,3253442,0,0,50402892,49062127,0,0
