fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2018-2019;125;1021;2018-2019_125_1021;account_registration;NA;1
2019-2020;125;1021;2019-2020_125_1021;account_registration;NA;1
2020-2021;125;1021;2020-2021_125_1021;account_registration;NA;1
2021-2022;125;1021;2021-2022_125_1021;account_registration;NA;1
2022-2023;125;1022;2022-2023_125_1022;account_registration;N;1
2018-2019;125;1022;2018-2019_125_1022;account_registration;NA;1
2019-2020;125;1022;2019-2020_125_1022;account_registration;NA;1
2020-2021;125;1022;2020-2021_125_1022;account_registration;NA;1
2021-2022;125;1022;2021-2022_125_1022;account_registration;NA;1
2022-2023;129;1023;2022-2023_129_1023;account_registration;NA;1
2018-2019;129;1023;2018-2019_129_1023;account_registration;NA;1
2019-2020;129;1023;2019-2020_129_1023;account_registration;NA;1
2020-2021;129;1023;2020-2021_129_1023;account_registration;NA;1
2021-2022;129;1023;2021-2022_129_1023;account_registration;NA;1
2022-2023;125;1024;2022-2023_125_1024;account_registration;N;1
2018-2019;125;1024;2018-2019_125_1024;account_registration;NA;1
2019-2020;125;1024;2019-2020_125_1024;account_registration;NA;1
2020-2021;125;1024;2020-2021_125_1024;account_registration;NA;1
2021-2022;125;1024;2021-2022_125_1024;account_registration;NA;1
2022-2023;125;1025;2022-2023_125_1025;account_registration;N;1
2018-2019;125;1025;2018-2019_125_1025;account_registration;NA;1
2019-2020;125;1025;2019-2020_125_1025;account_registration;NA;1
2020-2021;125;1025;2020-2021_125_1025;account_registration;NA;1
2021-2022;125;1025;2021-2022_125_1025;account_registration;NA;1
2022-2023;125;1026;2022-2023_125_1026;account_registration;Y;1
2018-2019;125;1026;2018-2019_125_1026;account_registration;Y;1
2019-2020;125;1026;2019-2020_125_1026;account_registration;Y;1
2020-2021;125;1026;2020-2021_125_1026;account_registration;Y;1
2021-2022;125;1026;2021-2022_125_1026;account_registration;Y;1
2022-2023;125;1027;2022-2023_125_1027;account_registration;Y;1
2018-2019;125;1027;2018-2019_125_1027;account_registration;Y;1
2019-2020;125;1027;2019-2020_125_1027;account_registration;Y;1
2020-2021;125;1027;2020-2021_125_1027;account_registration;Y;1
2021-2022;125;1027;2021-2022_125_1027;account_registration;Y;1
2022-2023;125;1028;2022-2023_125_1028;account_registration;N;1
2018-2019;125;1028;2018-2019_125_1028;account_registration;NA;1
2019-2020;125;1028;2019-2020_125_1028;account_registration;NA;1
2020-2021;125;1028;2020-2021_125_1028;account_registration;NA;1
2021-2022;125;1028;2021-2022_125_1028;account_registration;NA;1
