fiscal_yr;org_id;department_en;department_fr;service_with_std_count;service_count_maf1;maf1_score;service_standard_met;service_standard_count;maf2_score;online_e2e_count;service_count_maf5;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count_maf8;maf8_score
2018-2019;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;2;3;66.66666666666666;3.0;4.0;75.0;1;3;33.33333333333333;6.0;12.0;50.0;0;3;0.0
2018-2019;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;7;7;100.0;11.0;11.0;100.0;0;7;0.0;;;;0;7;0.0
2018-2019;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;4;4;100.0;1.0;3.0;33.33333333333333;1;4;25.0;11.0;14.0;78.57142857142857;0;4;0.0
2018-2019;95;Canadian Space Agency;Agence spatiale canadienne;10;11;90.9090909090909;4.0;14.0;28.57142857142857;2;11;18.181818181818183;23.0;53.0;43.39622641509434;0;11;0.0
2018-2019;99;Canadian Transportation Agency;Office des transports du Canada;3;5;60.0;1.0;5.0;20.0;0;5;0.0;8.0;30.0;26.666666666666668;0;5;0.0
2018-2019;114;Copyright Board Canada;Commission du droit d'auteur Canada;2;3;66.66666666666666;0.0;2.0;0.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2018-2019;117;Correctional Service Canada;Service correctionnel Canada;3;3;100.0;1.0;4.0;25.0;0;3;0.0;1.0;12.0;8.333333333333332;0;3;0.0
2018-2019;118;Courts Administration Service;Service administratif des tribunaux judiciaires;1;1;100.0;0.0;1.0;0.0;0;1;0.0;0.0;4.0;0.0;0;1;0.0
2018-2019;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;21;63;33.33333333333333;12.0;20.0;60.0;10;63;15.873015873015872;33.0;130.0;25.384615384615383;0;63;0.0
2018-2019;124;Department of Finance Canada;Ministère des Finances Canada;1;1;100.0;1.0;1.0;100.0;0;1;0.0;5.0;6.0;83.33333333333334;0;1;0.0
2018-2019;348;Department of Indigenous Services;Ministère des Services aux Autochtones;3;65;4.615384615384616;1.0;5.0;20.0;5;65;7.6923076923076925;36.0;112.0;32.142857142857146;0;65;0.0
2018-2019;132;Department of Justice Canada;Ministère de la Justice Canada;6;6;100.0;16.0;16.0;100.0;1;6;16.666666666666664;10.0;36.0;27.77777777777778;0;6;0.0
2018-2019;128;Employment and Social Development Canada;Emploi et Développement social Canada;36;36;100.0;57.0;75.0;76.0;12;36;33.33333333333333;71.0;146.0;48.63013698630137;0;36;0.0
2018-2019;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;26;33;78.78787878787878;51.0;72.0;70.83333333333334;5;33;15.151515151515152;71.0;168.0;42.26190476190476;0;33;0.0
2018-2019;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;4;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2018-2019;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;2;3;66.66666666666666;2.0;2.0;100.0;0;3;0.0;9.0;18.0;50.0;0;3;0.0
2018-2019;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;5;7;71.42857142857143;5.0;8.0;62.5;2;7;28.57142857142857;7.0;37.0;18.91891891891892;0;7;0.0
2018-2019;125;Fisheries and Oceans Canada;Pêches et Océans Canada;53;55;96.36363636363636;62.0;91.0;68.13186813186813;3;55;5.454545454545454;32.0;103.0;31.06796116504854;0;55;0.0
2018-2019;126;Global Affairs Canada;Affaires mondiales Canada;4;36;11.11111111111111;0.0;2.0;0.0;7;36;19.444444444444446;35.0;154.0;22.727272727272727;0;36;0.0
2018-2019;127;Health Canada;Santé Canada;47;84;55.952380952380956;48.0;66.0;72.72727272727273;3;84;3.571428571428571;59.0;235.0;25.106382978723403;0;84;0.0
2018-2019;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;9;19;47.368421052631575;15.0;21.0;71.42857142857143;2;19;10.526315789473683;11.0;14.0;78.57142857142857;0;19;0.0
2018-2019;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;16.666666666666664;1.0;1.0;100.0;1;6;16.666666666666664;6.0;26.0;23.076923076923077;0;6;0.0
2018-2019;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;25;74;33.78378378378378;26.0;36.0;72.22222222222221;21;74;28.37837837837838;226.0;367.0;61.58038147138964;0;74;0.0
2018-2019;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;5;8;62.5;4.0;6.0;66.66666666666666;3;8;37.5;8.0;17.0;47.05882352941176;0;8;0.0
2018-2019;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;37;44;84.0909090909091;85.0;115.0;73.91304347826086;12;44;27.27272727272727;128.0;193.0;66.32124352331607;0;44;0.0
2018-2019;347;Invest in Canada Hub;Investir au Canada;0;5;0.0;;;;0;5;0.0;0.0;30.0;0.0;0;5;0.0
2018-2019;199;Library and Archives Canada;Bibliothèque et Archives Canada;6;8;75.0;3.0;6.0;50.0;0;8;0.0;8.0;48.0;16.666666666666664;0;8;0.0
2018-2019;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;2;0.0;;;;0;2;0.0;1.0;12.0;8.333333333333332;0;2;0.0
2018-2019;133;National Defence;Défense nationale;0;11;0.0;;;;1;11;9.090909090909092;11.0;37.0;29.72972972972973;0;11;0.0
2018-2019;223;National Film Board;Office national du film;3;3;100.0;5.0;6.0;83.33333333333334;1;3;33.33333333333333;5.0;9.0;55.55555555555556;0;3;0.0
2018-2019;228;National Research Council Canada;Conseil national de recherches Canada;12;15;80.0;12.0;19.0;63.1578947368421;6;15;40.0;26.0;43.0;60.46511627906976;0;15;0.0
2018-2019;134;Natural Resources Canada;Ressources naturelles Canada;3;33;9.090909090909092;3.0;3.0;100.0;14;33;42.42424242424242;60.0;111.0;54.054054054054056;0;33;0.0
2018-2019;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;0.0;0.0;;5;6;83.33333333333334;23.0;23.0;100.0;0;6;0.0
2018-2019;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;0;6;0.0;;;;2;6;33.33333333333333;7.0;11.0;63.63636363636363;0;6;0.0
2018-2019;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;7;7;100.0;9.0;10.0;90.0;0;7;0.0;2.0;18.0;11.11111111111111;0;7;0.0
2018-2019;263;Parks Canada;Parcs Canada;4;14;28.57142857142857;5.0;6.0;83.33333333333334;0;14;0.0;11.0;82.0;13.414634146341465;0;14;0.0
2018-2019;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;4;11;36.36363636363637;4.0;4.0;100.0;4;11;36.36363636363637;28.0;66.0;42.42424242424242;0;11;0.0
2018-2019;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;1;2;50.0;0.0;1.0;0.0;1;2;50.0;5.0;5.0;100.0;0;2;0.0
2018-2019;552;Polar Knowledge Canada;Savoir polaire Canada;3;3;100.0;0.0;0.0;;0;3;0.0;13.0;18.0;72.22222222222221;0;3;0.0
2018-2019;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;3;4;75.0;6.0;6.0;100.0;2;4;50.0;9.0;14.0;64.28571428571429;0;4;0.0
2018-2019;278;Privy Council Office;Bureau du Conseil privé;0;11;0.0;;;;1;11;9.090909090909092;6.0;11.0;54.54545454545454;0;11;0.0
2018-2019;280;Public Health Agency of Canada;Agence de la santé publique du Canada;12;13;92.3076923076923;12.0;17.0;70.58823529411765;1;13;7.6923076923076925;9.0;60.0;15.0;0;13;0.0
2018-2019;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;0;1;0.0;;;;0;1;0.0;2.0;6.0;33.33333333333333;0;1;0.0
2018-2019;135;Public Safety Canada;Sécurité publique Canada;34;53;64.15094339622641;45.0;52.0;86.53846153846155;0;53;0.0;22.0;318.0;6.918238993710692;0;53;0.0
2018-2019;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;13;25;52.0;7.0;13.0;53.84615384615385;17;25;68.0;110.0;125.0;88.0;0;25;0.0
2018-2019;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;29;43;67.44186046511628;44.0;59.0;74.57627118644068;13;43;30.23255813953488;90.0;180.0;50.0;0;43;0.0
2018-2019;296;RCMP External Review Committee;Comité externe d'examen de la GRC;1;1;100.0;1.0;1.0;100.0;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2018-2019;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;13;15;86.66666666666667;4.0;18.0;22.22222222222222;2;15;13.333333333333334;16.0;35.0;45.714285714285715;0;15;0.0
2018-2019;305;Shared Services Canada;Services partagés Canada;17;26;65.38461538461539;0.0;20.0;0.0;7;26;26.923076923076923;77.0;141.0;54.60992907801418;0;26;0.0
2018-2019;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;5.0;12.0;41.66666666666667;3;7;42.857142857142854;20.0;24.0;83.33333333333334;0;7;0.0
2018-2019;313;Statistics Canada;Statistique Canada;23;23;100.0;3.0;11.0;27.27272727272727;21;23;91.30434782608695;46.0;51.0;90.19607843137256;0;23;0.0
2018-2019;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;5.0;5.0;100.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2018-2019;218;The National Battlefields Commission;Commission des champs de bataille nationaux;5;7;71.42857142857143;5.0;5.0;100.0;3;7;42.857142857142854;10.0;10.0;100.0;0;7;0.0
2018-2019;138;Transport Canada;Transports Canada;60;96;62.5;74.0;151.0;49.00662251655629;0;96;0.0;29.0;534.0;5.430711610486892;0;96;0.0
2018-2019;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;0;3;0.0;;;;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2018-2019;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;2;7;28.57142857142857;1.0;1.0;100.0;3;7;42.857142857142854;16.0;22.0;72.72727272727273;0;7;0.0
