index;0;1;2;3;4;5;6
fiscal_yr;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025
total_services;1244;1282;1426;1610;1690;1681;1
num_transactions_total;431192682.0;424790717.0;399085166.0;369012303.0;476872933.0;475890462.0;0.0
num_applications_online;183903598.0;168731737.0;215253090.0;197349440.0;269851782.0;266990628.0;0.0
num_phone_apps_enquiries;53787082.0;91095072.0;137503175.0;104456890.0;73420743.0;71694705.0;0.0
num_applications_in_person;118929060.0;111052745.0;15198700.0;27955327.0;78959836.0;102586340.0;0.0
online_percentage;0.4264998124434774;0.3972114508330934;0.5393663015778442;0.5348044994586536;0.5658777492410122;0.5610337868044937;
phone_percentage;0.12474024779483618;0.21444694611817516;0.3445459433588669;0.28307156468980926;0.15396290692808098;0.1506537968815185;
in-person_percentage;0.2758141892584346;0.26142931226060667;0.038083851004374336;0.07575716791209533;0.16557835544002242;0.21556712771436046;
total_services_omni;1242;1280;1426;148;123;688;1
num_transactions_total_omni;431192682.0;424790717.0;399085166.0;21750519.0;23368754.0;223172917.0;0.0
num_applications_online_omni;183903598.0;168731737.0;215253090.0;15318919.0;13677024.0;161063709.0;0.0
num_phone_apps_enquiries_omni;53787082.0;91095072.0;137503175.0;3721681.0;4379236.0;35632597.0;0.0
num_applications_in_person_omni;118929060.0;111052745.0;15198700.0;1767615.0;1961014.0;5124233.0;0.0
omni_service_percentage;0.9983922829581994;0.9984399375975039;1.0;0.09192546583850932;0.0727810650887574;0.4092801903628792;1.0
omni_online_percentage;0.4264998124434774;0.3972114508330934;0.5393663015778442;0.7043013088561243;0.5852697152787864;0.7216991701551313;
omni_phone_percentage;0.12474024779483618;0.21444694611817516;0.3445459433588669;0.17110768713151167;0.18739706875257447;0.15966362531346043;
omni_in-person_percentage;0.2758141892584346;0.26142931226060667;0.038083851004374336;0.08126771595657097;0.08391607015076627;0.022960819210872258;
total_orgs_ext;72;76;77;77;74;76;1
total_services_ext;1132;1181;1304;1482;1560;1560;1
num_applications_online_ext;174630378.0;156831471.0;202706431.0;196235510.0;268647250.0;254970346.0;0.0
num_applications_in_person_ext;118928362.0;111052720.0;15198693.0;27955327.0;78959836.0;102586170.0;0.0
num_phone_apps_enquiries_ext;53099291.0;90704008.0;137242208.0;104413441.0;72927098.0;71119791.0;0.0
num_applications_by_mail;42316481.0;33221419.0;19468112.0;22377948.0;31707932.0;21405253.0;0.0
num_applications_online_ext_excl_services;174630378.0;156831471.0;202706431.0;196235510.0;211647250.0;185970346.0;0.0
num_applications_in_person_ext_excl_services;61275106.0;55281174.0;6530426.0;4732959.0;8887982.0;13758230.0;0.0
total_programs_ext;477;500;527;481;458;522;1
total_services_ext_online;212.0;217.0;296.0;318.0;344.0;375.0;
ext_online_service_percentage;0.1872791519434629;0.18374259102455545;0.22699386503067484;0.2145748987854251;0.2205128205128205;0.2403846153846154;
total_services_ext_1oip;540.0;567.0;645.0;682.0;697.0;713.0;
ext_1oip_service_percentage;0.47703180212014135;0.48010160880609654;0.4946319018404908;0.4601889338731444;0.4467948717948718;0.45705128205128204;
total_standards_ext;1210.0;1319.0;1713.0;1747.0;1909.0;1674.0;
total_standards_met_ext;832.0;946.0;1236.0;1178.0;1315.0;1228.0;
ext_standard_met_percentage;0.687603305785124;0.7172100075815011;0.7215411558669002;0.6742987979393246;0.6888423258250392;0.7335722819593787;
total_services_ext_hv;117.0;126.0;123.0;134.0;116.0;117.0;
total_services_ext_hv_online;32.0;44.0;59.0;63.0;50.0;55.0;
ext_hv_online_service_percentage;0.27350427350427353;0.3492063492063492;0.4796747967479675;0.4701492537313433;0.43103448275862066;0.4700854700854701;
total_services_ext_hv_1oip;84.0;96.0;95.0;106.0;89.0;88.0;
ext_hv_1oip_service_percentage;0.717948717948718;0.7619047619047619;0.7723577235772358;0.7910447761194029;0.7672413793103449;0.7521367521367521;
total_standards_ext_hv;159.0;194.0;276.0;218.0;283.0;288.0;
total_standards_met_ext_hv;101.0;142.0;143.0;105.0;189.0;194.0;
ext_hv_standard_met_percentage;0.6352201257861635;0.7319587628865979;0.5181159420289855;0.481651376146789;0.6678445229681979;0.6736111111111112;

Timestamp:2026-02-10_10:41:14
