fiscal_yr;service_id;channel;volume
2018-2019;1052;telephone;0.0
2019-2020;1052;telephone;0.0
2020-2021;1052;telephone;0.0
2018-2019;1053;telephone;0.0
2019-2020;1053;telephone;0.0
2018-2019;1054;telephone;0.0
2019-2020;1054;telephone;0.0
2020-2021;1054;telephone;0.0
2018-2019;1055;telephone;0.0
2019-2020;1055;telephone;0.0
2020-2021;1055;telephone;0.0
2018-2019;1056;telephone;0.0
2019-2020;1056;telephone;0.0
2018-2019;1057;telephone;0.0
2019-2020;1057;telephone;0.0
2020-2021;1057;telephone;0.0
2018-2019;1058;telephone;0.0
2019-2020;1058;telephone;0.0
2020-2021;1058;telephone;0.0
2018-2019;1059;telephone;0.0
2019-2020;1059;telephone;0.0
2020-2021;1059;telephone;0.0
2018-2019;1060;telephone;0.0
2019-2020;1060;telephone;0.0
2020-2021;1060;telephone;0.0
2018-2019;1062;telephone;0.0
2019-2020;1062;telephone;0.0
2020-2021;1062;telephone;0.0
2018-2019;1064;telephone;0.0
2019-2020;1064;telephone;0.0
2020-2021;1064;telephone;0.0
2018-2019;1065;telephone;0.0
2019-2020;1065;telephone;0.0
2020-2021;1065;telephone;0.0
2018-2019;1066;telephone;0.0
2019-2020;1066;telephone;0.0
2020-2021;1066;telephone;0.0
2018-2019;1088;telephone;0.0
2019-2020;1088;telephone;0.0
2020-2021;1088;telephone;0.0
2018-2019;1089;telephone;0.0
2019-2020;1089;telephone;0.0
2020-2021;1089;telephone;0.0
2018-2019;1090;telephone;0.0
2019-2020;1090;telephone;0.0
2020-2021;1090;telephone;0.0
2018-2019;1091;telephone;0.0
2018-2019;1092;telephone;0.0
2019-2020;1092;telephone;0.0
2020-2021;1092;telephone;0.0
2018-2019;1093;telephone;0.0
2019-2020;1093;telephone;0.0
2020-2021;1093;telephone;0.0
2018-2019;1094;telephone;0.0
2019-2020;1094;telephone;0.0
2020-2021;1094;telephone;0.0
2018-2019;1095;telephone;0.0
2019-2020;1095;telephone;0.0
2020-2021;1095;telephone;0.0
2018-2019;1096;telephone;0.0
2018-2019;1097;telephone;0.0
2019-2020;1097;telephone;50149.0
2020-2021;1097;telephone;63887.0
2021-2022;1097;telephone;57949.0
2018-2019;1098;telephone;0.0
2019-2020;1098;telephone;0.0
2020-2021;1098;telephone;0.0
2018-2019;1099;telephone;0.0
2019-2020;1099;telephone;0.0
2020-2021;1099;telephone;0.0
2018-2019;10;telephone;0.0
2019-2020;10;telephone;0.0
2020-2021;10;telephone;0.0
2018-2019;1100;telephone;0.0
2019-2020;1100;telephone;0.0
2020-2021;1100;telephone;0.0
2018-2019;1101;telephone;0.0
2019-2020;1101;telephone;0.0
2020-2021;1101;telephone;0.0
2018-2019;1102;telephone;0.0
2019-2020;1102;telephone;0.0
2020-2021;1102;telephone;0.0
2018-2019;1103;telephone;0.0
2019-2020;1103;telephone;0.0
2020-2021;1103;telephone;0.0
2021-2022;1103;telephone;0.0
2018-2019;1104;telephone;0.0
2019-2020;1104;telephone;0.0
2020-2021;1104;telephone;0.0
2018-2019;1105;telephone;0.0
2019-2020;1105;telephone;0.0
2020-2021;1105;telephone;0.0
2018-2019;1106;telephone;0.0
2019-2020;1106;telephone;0.0
2020-2021;1106;telephone;0.0
2018-2019;1107;telephone;0.0
2019-2020;1107;telephone;0.0
2020-2021;1107;telephone;0.0
2018-2019;1108;telephone;0.0
2019-2020;1108;telephone;0.0
2020-2021;1108;telephone;0.0
2018-2019;1109;telephone;0.0
2019-2020;1109;telephone;0.0
2020-2021;1109;telephone;0.0
2018-2019;1110;telephone;0.0
2019-2020;1110;telephone;0.0
2020-2021;1110;telephone;0.0
2018-2019;1111;telephone;0.0
2019-2020;1111;telephone;0.0
2020-2021;1111;telephone;0.0
2018-2019;1112;telephone;0.0
2019-2020;1112;telephone;0.0
2020-2021;1112;telephone;0.0
2018-2019;1113;telephone;0.0
2019-2020;1113;telephone;0.0
2020-2021;1113;telephone;0.0
2022-2023;1114;telephone;0.0
2018-2019;1114;telephone;0.0
2019-2020;1114;telephone;0.0
2020-2021;1114;telephone;347.0
2021-2022;1114;telephone;942.0
2018-2019;1115;telephone;0.0
2019-2020;1115;telephone;0.0
2020-2021;1115;telephone;0.0
2018-2019;1116;telephone;0.0
2019-2020;1116;telephone;103446.0
2020-2021;1116;telephone;86229.0
2021-2022;1116;telephone;88914.0
2018-2019;1117;telephone;0.0
2019-2020;1117;telephone;0.0
2020-2021;1117;telephone;0.0
2018-2019;1118;telephone;0.0
2019-2020;1118;telephone;0.0
2018-2019;1119;telephone;0.0
2019-2020;1119;telephone;0.0
2020-2021;1119;telephone;0.0
2018-2019;1120;telephone;0.0
2019-2020;1120;telephone;0.0
2020-2021;1120;telephone;0.0
2018-2019;1121;telephone;0.0
2019-2020;1121;telephone;0.0
2020-2021;1121;telephone;0.0
2018-2019;1122;telephone;0.0
2019-2020;1122;telephone;0.0
2020-2021;1122;telephone;3389.0
2018-2019;1123;telephone;0.0
2019-2020;1123;telephone;0.0
2020-2021;1123;telephone;0.0
2018-2019;1126;telephone;0.0
2018-2019;1127;telephone;0.0
2018-2019;1128;telephone;0.0
2018-2019;1129;telephone;0.0
2019-2020;1129;telephone;0.0
2020-2021;1129;telephone;0.0
2018-2019;1130;telephone;0.0
2019-2020;1130;telephone;0.0
2020-2021;1130;telephone;0.0
2018-2019;1131;telephone;0.0
2019-2020;1131;telephone;0.0
2018-2019;1132;telephone;0.0
2019-2020;1132;telephone;0.0
2020-2021;1132;telephone;0.0
2018-2019;1133;telephone;0.0
2019-2020;1133;telephone;0.0
